School,Close Contact,Positive Case,Suspected Case,Total
Anderson-Livsey ES,0,0,0,0
Annistown ES,3,1,0,4
Arcado ES,21,1,0,22
Archer HS,38,5,8,51
Baggett ES,17,1,7,25
Baldwin ES,0,0,1,1
Bay Creek MS,3,0,1,4
Beaver Ridge ES,0,0,0,0
Benefield ES,11,1,1,13
Berkeley Lake ES,1,0,0,1
Berkmar HS,1,0,0,1
Berkmar MS,0,0,4,4
Bethesda ES,20,1,0,21
Britt ES,6,0,0,6
Brookwood ES,16,1,0,17
Brookwood HS,6,1,0,7
Buice Center,11,8,4,23
Burnette ES,2,0,3,5
Camp Creek ES,5,0,0,5
Cedar Hill ES,13,0,1,14
Centerville ES,0,0,0,0
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,2,0,0,2
Chesney ES,16,1,0,17
Coleman MS,1,0,0,1
Collins Hill HS,3,2,3,8
Cooper ES,63,4,8,75
Corley ES,3,0,0,3
Couch MS,0,1,0,1
Craig ES,1,0,0,1
Creekland MS,9,4,1,14
Crews MS,4,1,0,5
Dacula ES,3,0,2,5
Dacula HS,8,0,0,8
Dacula MS,33,2,0,35
Discovery HS,10,0,0,10
Duluth HS,6,0,1,7
Duluth MS,3,1,6,10
Duncan Creek ES,19,1,0,20
Dyer ES,5,0,1,6
Ferguson ES,30,1,1,32
Five Forks MS,11,3,0,14
Fort Daniel ES,1,0,1,2
Freeman's Mill ES,10,1,0,11
GIVE East,0,0,0,0
GIVE West,1,0,0,1
Grace Snell MS,1,1,0,2
Graves ES,0,0,0,0
Grayson ES,2,0,2,4
Grayson HS,5,1,0,6
Gwin Oaks ES,7,1,0,8
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",3,0,0,3
Harbins ES,9,5,0,14
Harmony ES,2,1,0,3
Harris ES,3,0,1,4
Head ES,0,0,0,0
Hopkins ES,24,0,2,26
Hull MS,0,0,1,1
International Transition Center,0,0,0,0
Ivy Creek ES,7,1,0,8
Jackson ES,13,2,0,15
Jenkins ES,4,3,0,7
Jones MS,4,0,0,4
Jordan MS,1,0,1,2
Kanoheda ES,0,0,0,0
Knight ES,4,0,0,4
Lanier HS,10,1,5,16
Lanier MS,9,1,2,12
Lawrenceville ES,3,1,0,4
Level Creek ES,1,0,0,1
Lilburn ES,0,0,0,0
Lilburn MS,2,0,9,11
Lovin ES,6,3,0,9
Magill ES,22,0,1,23
Mason ES,2,1,4,7
Maxwell,0,0,0,0
McClure Health Science HS,3,0,1,4
McConnell MS,29,4,1,34
McKendree ES,1,0,0,1
Meadowcreek ES,1,4,0,5
Meadowcreek HS,5,1,4,10
Mill Creek HS,61,4,1,66
Minor ES,2,0,0,2
Moore MS,1,0,0,1
Mountain Park ES,1,0,0,1
Mountain View HS,44,3,2,49
Mulberry ES,4,0,0,4
Nesbit ES,3,1,1,5
Norcross ES,3,1,2,6
Norcross HS,37,3,0,40
North Gwinnett HS,4,0,2,6
North Gwinnett MS,41,3,1,45
Northbrook MS,16,0,2,18
Norton ES,0,0,0,0
Oakland Meadow School,1,0,0,1
Osborne MS,71,2,1,74
Parkview HS,3,3,10,16
Parsons ES,1,0,0,1
Partee ES,1,0,0,1
Patrick ES,0,0,1,1
Paul Duke STEM HS,0,0,0,0
Peachtree ES,19,0,3,22
Peachtree Ridge HS,2,2,2,6
Pharr ES,7,1,1,9
Phoenix HS,1,0,0,1
Pinckneyville MS,8,0,2,10
Puckett's Mill ES,33,2,3,38
Radloff MS,1,0,0,1
Richards MS,16,3,8,27
Riverside ES,0,0,0,0
Roberts ES,3,0,0,3
Rock Springs ES,1,0,0,1
Rockbridge ES,2,0,0,2
Rosebud ES,4,0,0,4
Shiloh ES,11,1,0,12
Shiloh HS,1,1,0,2
Shiloh MS,9,1,4,14
Simonton ES,30,3,0,33
Simpson ES,2,1,0,3
Snellville MS,2,0,0,2
South Gwinnett HS,32,0,2,34
Starling ES,1,1,2,4
Stripling ES,0,0,1,1
Sugar Hill ES,4,0,0,4
Summerour MS,2,0,0,2
Suwanee ES,0,0,0,0
Sweetwater MS,1,1,2,4
Sycamore ES,5,0,0,5
Taylor ES,15,5,0,20
Trickum MS,11,1,0,12
Trip ES,27,1,2,30
Twin Rivers MS,41,3,1,45
Walnut Grove ES,0,0,0,0
White Oak ES,12,1,1,14
Winn Holt ES,7,0,1,8
Woodward Mill ES,2,2,1,5
