School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,3,0,0,3
Alford ES,1,0,0,1
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,23,0,1,24
Archer HS,0,0,0,0
Baggett ES,0,0,0,0
Baldwin ES,2,1,0,3
Bay Creek MS,3,1,0,4
Beaver Ridge ES,1,0,0,1
Benefield ES,1,0,0,1
Berkeley Lake ES,2,0,0,2
Berkmar HS,0,1,0,1
Berkmar MS,13,0,3,16
Bethesda ES,0,0,0,0
Britt ES,2,0,0,2
Brookwood ES,2,0,0,2
Brookwood HS,3,2,0,5
Buice Center,0,0,0,0
Burnette ES,3,0,3,6
Camp Creek ES,3,1,0,4
Cedar Hill ES,30,2,0,32
Centerville ES,0,0,0,0
Central Gwinnett HS,0,1,0,1
Chattahoochee ES,3,0,0,3
Chesney ES,1,0,0,1
Coleman MS,1,0,0,1
Collins Hill HS,11,2,0,13
Cooper ES,0,0,0,0
Corley ES,3,0,0,3
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,3,0,0,3
Dacula ES,3,0,1,4
Dacula HS,1,1,1,3
Dacula MS,46,3,2,51
Discovery HS,2,3,1,6
Duluth HS,1,1,3,5
Duluth MS,5,2,2,9
Duncan Creek ES,2,4,0,6
Dyer ES,11,0,4,15
Ferguson ES,4,0,0,4
Five Forks MS,2,0,0,2
Fort Daniel ES,13,1,0,14
Freeman's Mill ES,1,0,0,1
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,23,0,2,25
Graves ES,0,0,0,0
Grayson ES,3,0,1,4
Grayson HS,4,2,0,6
Gwin Oaks ES,10,2,1,13
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,1,1
Harbins ES,21,1,0,22
Harmony ES,12,2,0,14
Harris ES,0,0,0,0
Head ES,0,0,0,0
Hopkins ES,5,1,0,6
Hull MS,0,0,0,0
International Transition Center,0,0,0,0
Ivy Creek ES,5,0,1,6
Jackson ES,6,1,0,7
Jenkins ES,8,2,0,10
Jones MS,20,1,1,22
Jordan MS,1,0,0,1
Kanoheda ES,1,0,0,1
Knight ES,5,1,3,9
Lanier HS,5,3,0,8
Lanier MS,8,0,0,8
Lawrenceville ES,6,1,0,7
Level Creek ES,37,4,0,41
Lilburn ES,19,3,0,22
Lilburn MS,2,0,0,2
Lovin ES,0,0,0,0
Magill ES,18,1,0,19
Mason ES,0,0,0,0
Maxwell,9,1,0,10
McClure Health Science HS,3,0,0,3
McConnell MS,2,0,0,2
McKendree ES,1,2,0,3
Meadowcreek ES,1,1,0,2
Meadowcreek HS,17,0,4,21
Mill Creek HS,21,1,0,22
Minor ES,6,1,0,7
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,15,1,1,17
Mulberry ES,4,0,0,4
Nesbit ES,0,0,1,1
Norcross ES,1,0,1,2
Norcross HS,16,0,2,18
North Gwinnett HS,1,0,1,2
North Gwinnett MS,4,0,0,4
Northbrook MS,0,0,0,0
Norton ES,2,1,0,3
Oakland Meadow School,0,0,0,0
Osborne MS,65,4,0,69
Parkview HS,3,1,3,7
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,10,2,0,12
Peachtree ES,5,0,1,6
Peachtree Ridge HS,3,1,0,4
Pharr ES,1,0,0,1
Phoenix HS,0,0,0,0
Pinckneyville MS,2,3,0,5
Puckett's Mill ES,4,0,0,4
Radloff MS,0,0,0,0
Richards MS,28,1,1,30
Riverside ES,4,0,0,4
Roberts ES,0,0,0,0
Rock Springs ES,2,0,0,2
Rockbridge ES,0,0,1,1
Rosebud ES,13,0,1,14
Shiloh ES,5,0,0,5
Shiloh HS,0,2,0,2
Shiloh MS,1,1,1,3
Simonton ES,3,0,0,3
Simpson ES,2,0,0,2
Snellville MS,1,0,0,1
South Gwinnett HS,6,2,2,10
Starling ES,3,1,0,4
Stripling ES,4,1,2,7
Sugar Hill ES,2,0,0,2
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,1,0,0,1
Sycamore ES,4,0,0,4
Taylor ES,1,0,0,1
Trickum MS,5,1,0,6
Trip ES,29,1,0,30
Twin Rivers MS,3,0,0,3
Walnut Grove ES,1,0,0,1
White Oak ES,2,0,3,5
Winn Holt ES,1,0,0,1
Woodward Mill ES,2,1,0,3
