School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,0,2,2
Annistown ES,0,0,1,1
Arcado ES,1,0,0,1
Archer HS,3,0,1,4
Bethesda ES,16,0,1,17
Brookwood ES,1,0,0,1
Brookwood HS,46,0,2,48
Burnette ES,1,0,2,3
Central Gwinnett HS,3,0,0,3
Chattahoochee ES,3,0,0,3
Coleman MS,2,0,0,2
Collins Hill HS,0,0,1,1
Crews MS,1,0,0,1
Dacula ES,6,0,4,10
Discovery HS,0,0,1,1
Duluth HS,1,1,1,3
Duluth MS,1,0,1,2
Duncan Creek ES,1,0,0,1
Dyer ES,3,0,2,5
GIVE West,0,0,1,1
Harbins ES,8,0,0,8
Harmony ES,1,0,0,1
Harris ES,32,0,3,35
Hopkins ES,1,0,2,3
Hull MS,21,0,0,21
Jordan MS,1,0,1,2
Knight ES,1,0,1,2
Lilburn MS,0,0,1,1
Lovin ES,4,0,1,5
Mason ES,1,0,0,1
McConnell MS,0,0,1,1
Meadowcreek HS,1,0,1,2
Mill Creek HS,8,0,2,10
Mountain View HS,4,1,0,5
North Gwinnett HS,2,0,1,3
North Gwinnett MS,2,0,0,2
Northbrook MS,5,0,1,6
Oakland Meadow School,1,0,1,2
Osborne MS,1,0,0,1
Parkview HS,3,1,0,4
Peachtree ES,0,0,3,3
Peachtree Ridge HS,4,0,1,5
Radloff MS,10,1,1,12
Rockbridge ES,0,0,1,1
Starling ES,0,0,2,2
Summerour MS,0,0,1,1
Trickum MS,6,0,1,7
Trip ES,20,0,0,20
Twin Rivers MS,1,0,1,2
Winn Holt ES,1,0,0,1
