School,Close Contact,Positive Case,Suspected Case,Total
Alford ES,1,0,0,1
Arcado ES,1,0,0,1
Brookwood ES,1,0,0,1
Brookwood HS,1,1,0,2
Creekland MS,1,0,0,1
Dacula MS,0,1,0,1
Duluth HS,0,1,0,1
Duluth MS,0,0,1,1
Dyer ES,1,0,0,1
Grayson ES,2,0,0,2
Hopkins ES,1,1,0,2
Ivy Creek ES,3,0,0,3
Jackson ES,1,0,0,1
Jones MS,1,0,0,1
Jordan MS,0,1,0,1
Knight ES,0,0,1,1
Lanier HS,1,0,0,1
Lanier MS,14,1,0,15
Level Creek ES,1,0,0,1
McConnell MS,1,0,0,1
McKendree ES,3,0,0,3
Mill Creek HS,4,4,0,8
Mountain View HS,2,0,0,2
Mulberry ES,2,1,0,3
Nesbit ES,1,0,0,1
Norcross ES,1,0,0,1
Norcross HS,3,1,2,6
North Gwinnett HS,3,2,1,6
North Gwinnett MS,2,0,0,2
Northbrook MS,2,0,0,2
Osborne MS,1,0,0,1
Partee ES,0,1,0,1
Peachtree ES,5,0,1,6
Pharr ES,2,0,0,2
Pinckneyville MS,3,1,0,4
Rock Springs ES,1,0,0,1
Simonton ES,1,0,0,1
Stripling ES,3,0,0,3
Sugar Hill ES,1,0,0,1
Summerour MS,1,0,0,1
Sycamore ES,13,0,0,13
Taylor ES,3,0,0,3
Trip ES,1,0,0,1
Twin Rivers MS,1,2,0,3
