School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,18,2,1,21
Alford ES,12,0,0,12
Anderson-Livsey ES,0,0,0,0
Annistown ES,6,1,0,7
Arcado ES,41,3,1,45
Archer HS,92,10,15,117
Baggett ES,18,2,7,27
Baldwin ES,5,1,0,6
Bay Creek MS,3,1,4,8
Beaver Ridge ES,10,3,0,13
Benefield ES,3,0,0,3
Berkeley Lake ES,39,2,1,42
Berkmar HS,13,1,0,14
Berkmar MS,15,2,2,19
Bethesda ES,12,1,0,13
Britt ES,4,0,0,4
Brookwood ES,27,2,0,29
Brookwood HS,34,8,4,46
Buice Center,3,1,0,4
Burnette ES,5,0,4,9
Camp Creek ES,20,0,3,23
Cedar Hill ES,6,0,0,6
Centerville ES,18,3,1,22
Central Gwinnett HS,14,3,0,17
Chattahoochee ES,24,1,2,27
Chesney ES,23,1,0,24
Coleman MS,9,0,1,10
Collins Hill HS,26,4,1,31
Cooper ES,20,1,0,21
Corley ES,4,0,2,6
Couch MS,10,1,0,11
Craig ES,27,3,2,32
Creekland MS,10,3,2,15
Crews MS,8,1,0,9
Dacula ES,21,3,6,30
Dacula HS,10,3,6,19
Dacula MS,29,2,2,33
Discovery HS,8,4,2,14
Duluth HS,12,0,4,16
Duluth MS,11,3,2,16
Duncan Creek ES,44,2,3,49
Dyer ES,16,0,5,21
Ferguson ES,51,5,0,56
Five Forks MS,61,6,0,67
Fort Daniel ES,22,7,0,29
Freeman's Mill ES,11,0,2,13
GIVE East,0,0,0,0
GIVE West,1,0,0,1
Grace Snell MS,1,0,4,5
Graves ES,14,0,2,16
Grayson ES,28,6,4,38
Grayson HS,15,7,2,24
Gwin Oaks ES,7,2,1,10
Gwinnett Online Campus,1,1,1,3
"Gwinnett School of Mathematics, Science, and Technology",1,1,1,3
Harbins ES,20,5,3,28
Harmony ES,3,2,0,5
Harris ES,7,1,0,8
Head ES,13,2,0,15
Hopkins ES,7,2,2,11
Hull MS,12,5,4,21
International Transition Center,2,1,0,3
Ivy Creek ES,9,3,2,14
Jackson ES,21,1,0,22
Jenkins ES,3,0,2,5
Jones MS,9,3,0,12
Jordan MS,4,2,2,8
Kanoheda ES,0,0,0,0
Knight ES,19,7,4,30
Lanier HS,23,4,8,35
Lanier MS,44,5,2,51
Lawrenceville ES,4,1,0,5
Level Creek ES,12,6,1,19
Lilburn ES,12,1,2,15
Lilburn MS,2,0,4,6
Lovin ES,7,2,1,10
Magill ES,56,3,5,64
Mason ES,7,4,0,11
Maxwell,1,0,0,1
McClure Health Science HS,7,0,5,12
McConnell MS,27,3,0,30
McKendree ES,15,3,0,18
Meadowcreek ES,10,3,0,13
Meadowcreek HS,17,1,5,23
Mill Creek HS,84,8,0,92
Minor ES,11,3,2,16
Moore MS,10,3,0,13
Mountain Park ES,6,2,0,8
Mountain View HS,28,4,5,37
Mulberry ES,17,4,1,22
Nesbit ES,4,1,3,8
Norcross ES,4,1,1,6
Norcross HS,32,3,3,38
North Gwinnett HS,50,6,9,65
North Gwinnett MS,37,6,2,45
Northbrook MS,9,1,3,13
Norton ES,7,1,1,9
Oakland Meadow School,1,1,1,3
Osborne MS,76,6,0,82
Parkview HS,11,5,10,26
Parsons ES,4,0,1,5
Partee ES,2,0,0,2
Patrick ES,5,0,1,6
Paul Duke STEM HS,6,1,0,7
Peachtree ES,11,3,3,17
Peachtree Ridge HS,6,4,0,10
Pharr ES,5,0,0,5
Phoenix HS,3,0,0,3
Pinckneyville MS,16,5,6,27
Puckett's Mill ES,7,0,1,8
Radloff MS,7,1,0,8
Richards MS,37,7,13,57
Riverside ES,7,1,0,8
Roberts ES,3,0,0,3
Rock Springs ES,38,2,0,40
Rockbridge ES,15,3,1,19
Rosebud ES,16,0,4,20
Shiloh ES,7,1,0,8
Shiloh HS,3,2,5,10
Shiloh MS,11,0,1,12
Simonton ES,9,3,0,12
Simpson ES,32,3,0,35
Snellville MS,5,0,1,6
South Gwinnett HS,16,3,1,20
Starling ES,13,0,2,15
Stripling ES,4,0,1,5
Sugar Hill ES,67,8,6,81
Summerour MS,8,1,3,12
Suwanee ES,6,1,0,7
Sweetwater MS,7,3,0,10
Sycamore ES,8,0,1,9
Taylor ES,10,1,0,11
Trickum MS,19,2,1,22
Trip ES,15,3,4,22
Twin Rivers MS,49,4,1,54
Walnut Grove ES,5,0,0,5
White Oak ES,16,2,2,20
Winn Holt ES,14,2,6,22
Woodward Mill ES,3,1,0,4
