School,Close Contact,Positive Case,Suspected Case,Total
Arcado ES,21,0,1,22
Brookwood ES,2,0,0,2
Brookwood HS,1,1,0,2
Chattahoochee ES,2,0,0,2
Crews MS,1,0,0,1
Dacula ES,0,0,1,1
Dacula MS,15,1,0,16
Discovery HS,0,0,1,1
Duluth HS,0,0,2,2
Duncan Creek ES,0,2,0,2
Dyer ES,7,0,1,8
Ferguson ES,3,0,0,3
Five Forks MS,1,0,0,1
Harbins ES,21,1,0,22
Hopkins ES,5,1,0,6
Jones MS,16,0,0,16
Lanier MS,5,0,0,5
Level Creek ES,8,1,0,9
Magill ES,1,0,0,1
Mountain View HS,5,1,0,6
Mulberry ES,2,0,0,2
Nesbit ES,0,0,1,1
Norcross HS,1,0,0,1
North Gwinnett HS,0,0,1,1
North Gwinnett MS,1,0,0,1
Osborne MS,0,1,0,1
Parkview HS,0,0,1,1
Puckett's Mill ES,2,0,0,2
Richards MS,1,0,1,2
Rosebud ES,1,0,0,1
South Gwinnett HS,0,0,1,1
Starling ES,2,0,0,2
Stripling ES,0,0,1,1
Twin Rivers MS,1,0,0,1
Winn Holt ES,1,0,0,1
Woodward Mill ES,2,0,0,2
