School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,40,4,0,44
Alford ES,2,0,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,31,2,3,36
Archer HS,38,5,3,46
Baggett ES,12,2,1,15
Baldwin ES,2,1,0,3
Bay Creek MS,3,0,0,3
Beaver Ridge ES,0,1,0,1
Benefield ES,11,1,3,15
Berkeley Lake ES,1,0,0,1
Berkmar HS,1,0,0,1
Berkmar MS,13,0,4,17
Bethesda ES,12,1,0,13
Britt ES,0,0,0,0
Brookwood ES,3,0,0,3
Brookwood HS,5,0,1,6
Buice Center,14,9,0,23
Burnette ES,7,1,7,15
Camp Creek ES,9,1,0,10
Cedar Hill ES,96,3,8,107
Centerville ES,6,0,1,7
Central Gwinnett HS,1,0,0,1
Chattahoochee ES,52,1,1,54
Chesney ES,3,0,0,3
Coleman MS,12,1,0,13
Collins Hill HS,13,4,0,17
Cooper ES,18,0,3,21
Corley ES,1,0,0,1
Couch MS,0,0,0,0
Craig ES,9,3,0,12
Creekland MS,9,2,1,12
Crews MS,16,4,0,20
Dacula ES,5,0,3,8
Dacula HS,9,1,0,10
Dacula MS,2,0,0,2
Discovery HS,10,4,0,14
Duluth HS,11,1,3,15
Duluth MS,21,0,12,33
Duncan Creek ES,4,1,0,5
Dyer ES,10,0,2,12
Ferguson ES,15,0,1,16
Five Forks MS,1,1,0,2
Fort Daniel ES,0,1,0,1
Freeman's Mill ES,2,0,0,2
GIVE East,0,0,1,1
GIVE West,0,0,1,1
Grace Snell MS,0,0,0,0
Graves ES,15,0,5,20
Grayson ES,57,2,8,67
Grayson HS,9,3,0,12
Gwin Oaks ES,18,4,0,22
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",2,3,0,5
Harbins ES,2,1,0,3
Harmony ES,12,1,0,13
Harris ES,16,0,2,18
Head ES,1,0,1,2
Hopkins ES,20,0,11,31
Hull MS,0,0,0,0
International Transition Center,0,1,0,1
Ivy Creek ES,31,1,0,32
Jackson ES,6,1,0,7
Jenkins ES,5,1,0,6
Jones MS,1,0,0,1
Jordan MS,3,0,1,4
Kanoheda ES,1,0,0,1
Knight ES,6,1,3,10
Lanier HS,2,0,0,2
Lanier MS,1,0,1,2
Lawrenceville ES,13,4,0,17
Level Creek ES,2,1,0,3
Lilburn ES,0,0,0,0
Lilburn MS,0,0,1,1
Lovin ES,5,0,0,5
Magill ES,38,1,1,40
Mason ES,5,0,0,5
Maxwell,0,0,0,0
McClure Health Science HS,17,2,2,21
McConnell MS,22,6,1,29
McKendree ES,2,0,0,2
Meadowcreek ES,0,2,2,4
Meadowcreek HS,29,0,5,34
Mill Creek HS,21,4,0,25
Minor ES,2,2,0,4
Moore MS,5,1,0,6
Mountain Park ES,1,0,0,1
Mountain View HS,34,0,3,37
Mulberry ES,9,0,1,10
Nesbit ES,3,0,1,4
Norcross ES,0,0,0,0
Norcross HS,12,1,1,14
North Gwinnett HS,3,2,0,5
North Gwinnett MS,41,4,0,45
Northbrook MS,15,2,0,17
Norton ES,2,0,0,2
Oakland Meadow School,0,0,0,0
Osborne MS,44,2,0,46
Parkview HS,41,12,9,62
Parsons ES,1,0,1,2
Partee ES,14,3,0,17
Patrick ES,8,1,0,9
Paul Duke STEM HS,2,1,0,3
Peachtree ES,3,0,0,3
Peachtree Ridge HS,5,7,1,13
Pharr ES,4,0,2,6
Phoenix HS,0,0,0,0
Pinckneyville MS,1,1,4,6
Puckett's Mill ES,1,0,2,3
Radloff MS,0,0,0,0
Richards MS,31,3,6,40
Riverside ES,11,0,1,12
Roberts ES,3,0,0,3
Rock Springs ES,1,0,0,1
Rockbridge ES,10,0,3,13
Rosebud ES,15,0,2,17
Shiloh ES,0,0,0,0
Shiloh HS,1,0,0,1
Shiloh MS,9,1,1,11
Simonton ES,3,1,3,7
Simpson ES,13,2,0,15
Snellville MS,0,0,0,0
South Gwinnett HS,12,1,1,14
Starling ES,5,0,1,6
Stripling ES,2,0,1,3
Sugar Hill ES,9,1,0,10
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,2,0,0,2
Sycamore ES,2,1,0,3
Taylor ES,5,0,0,5
Trickum MS,4,0,0,4
Trip ES,19,2,0,21
Twin Rivers MS,23,2,2,27
Walnut Grove ES,0,0,0,0
White Oak ES,3,0,2,5
Winn Holt ES,9,1,0,10
Woodward Mill ES,0,1,2,3
