School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,12,1,4,17
Alford ES,0,0,0,0
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,25,0,2,27
Archer HS,17,1,0,18
Baggett ES,0,0,0,0
Baldwin ES,0,0,3,3
Bay Creek MS,0,0,1,1
Beaver Ridge ES,1,0,0,1
Benefield ES,1,0,0,1
Berkeley Lake ES,1,0,1,2
Berkmar HS,2,1,0,3
Berkmar MS,1,0,0,1
Bethesda ES,7,0,3,10
Britt ES,0,0,4,4
Brookwood ES,18,1,2,21
Brookwood HS,1,0,0,1
Buice Center,15,2,0,17
Burnette ES,5,0,2,7
Camp Creek ES,2,0,0,2
Cedar Hill ES,9,0,1,10
Centerville ES,5,3,2,10
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,6,0,1,7
Chesney ES,21,1,1,23
Coleman MS,1,0,0,1
Collins Hill HS,0,0,0,0
Cooper ES,18,0,2,20
Corley ES,0,0,0,0
Couch MS,0,0,0,0
Craig ES,1,0,0,1
Creekland MS,1,1,2,4
Crews MS,3,0,0,3
Dacula ES,6,0,3,9
Dacula HS,10,0,4,14
Dacula MS,13,0,0,13
Discovery HS,3,1,0,4
Duluth HS,2,0,3,5
Duluth MS,4,0,6,10
Duncan Creek ES,17,1,3,21
Dyer ES,11,0,6,17
Ferguson ES,10,0,0,10
Five Forks MS,0,0,0,0
Fort Daniel ES,1,0,0,1
Freeman's Mill ES,19,0,0,19
GIVE East,3,0,0,3
GIVE West,0,0,0,0
Grace Snell MS,2,1,0,3
Graves ES,0,0,0,0
Grayson ES,3,0,1,4
Grayson HS,7,2,0,9
Gwin Oaks ES,0,0,0,0
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,10,0,2,12
Harmony ES,6,0,0,6
Harris ES,25,1,0,26
Head ES,10,0,3,13
Hopkins ES,2,0,2,4
Hull MS,0,0,0,0
International Transition Center,5,0,1,6
Ivy Creek ES,5,1,1,7
Jackson ES,3,0,0,3
Jenkins ES,4,0,1,5
Jones MS,3,0,1,4
Jordan MS,31,0,13,44
Kanoheda ES,2,0,1,3
Knight ES,14,0,5,19
Lanier HS,20,0,2,22
Lanier MS,0,0,0,0
Lawrenceville ES,1,1,0,2
Level Creek ES,7,0,0,7
Lilburn ES,0,0,0,0
Lilburn MS,14,2,0,16
Lovin ES,0,0,0,0
Magill ES,2,0,0,2
Mason ES,0,0,0,0
Maxwell HS of Technology,0,0,0,0
McClure Health Science HS,5,1,4,10
McConnell MS,4,1,4,9
McKendree ES,8,0,3,11
Meadowcreek ES,9,1,1,11
Meadowcreek HS,27,0,8,35
Mill Creek HS,56,4,1,61
Minor ES,15,1,0,16
Moore MS,3,0,0,3
Mountain Park ES,4,0,0,4
Mountain View HS,27,0,2,29
Mulberry ES,0,1,0,1
Nesbit ES,1,0,0,1
Norcross ES,16,0,5,21
Norcross HS,5,0,3,8
North Gwinnett HS,70,1,0,71
North Gwinnett MS,3,0,3,6
Northbrook MS,1,0,0,1
Norton ES,2,1,1,4
Oakland Meadow School,1,0,0,1
Osborne MS,27,0,0,27
Parkview HS,4,0,1,5
Parsons ES,12,0,0,12
Partee ES,0,0,0,0
Patrick ES,1,1,0,2
Paul Duke STEM HS,1,1,1,3
Peachtree ES,18,0,9,27
Peachtree Ridge HS,19,1,3,23
Pharr ES,15,0,2,17
Phoenix HS,1,0,0,1
Pinckneyville MS,17,0,7,24
Puckett's Mill ES,1,0,0,1
Radloff MS,2,1,3,6
Richards MS,5,0,4,9
Riverside ES,0,0,0,0
Roberts ES,1,0,0,1
Rock Springs ES,0,0,1,1
Rockbridge ES,3,0,1,4
Rosebud ES,0,0,1,1
Shiloh ES,0,0,1,1
Shiloh HS,1,1,2,4
Shiloh MS,0,0,0,0
Simonton ES,0,0,0,0
Simpson ES,44,1,3,48
Snellville MS,0,0,0,0
South Gwinnett HS,4,0,2,6
Starling ES,2,0,1,3
Stripling ES,0,0,0,0
Sugar Hill ES,3,0,0,3
Summerour MS,0,0,3,3
Suwanee ES,0,0,0,0
Sweetwater MS,2,0,1,3
Sycamore ES,1,0,0,1
Taylor ES,2,0,0,2
Trickum MS,3,0,2,5
Trip ES,0,0,0,0
Twin Rivers MS,7,0,0,7
Walnut Grove ES,0,0,2,2
White Oak ES,1,0,0,1
Winn Holt ES,2,0,2,4
Woodward Mill ES,4,0,3,7
