School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,113,8,15,136
Alford ES,33,0,0,33
Anderson-Livsey ES,0,0,0,0
Annistown ES,1,0,0,1
Arcado ES,33,0,2,35
Archer HS,138,5,14,157
Baggett ES,27,1,1,29
Baldwin ES,1,0,0,1
Bay Creek MS,2,0,0,2
Beaver Ridge ES,4,0,0,4
Benefield ES,49,2,0,51
Berkeley Lake ES,2,2,0,4
Berkmar HS,39,1,0,40
Berkmar MS,11,0,2,13
Bethesda ES,22,0,0,22
Britt ES,3,0,0,3
Brookwood ES,43,2,0,45
Brookwood HS,24,4,0,28
Buice Center,0,0,0,0
Burnette ES,4,0,0,4
Camp Creek ES,37,0,1,38
Cedar Hill ES,24,1,0,25
Centerville ES,0,0,1,1
Central Gwinnett HS,7,1,0,8
Chattahoochee ES,4,0,0,4
Chesney ES,13,1,1,15
Coleman MS,3,0,0,3
Collins Hill HS,13,2,0,15
Cooper ES,22,0,2,24
Corley ES,2,2,0,4
Couch MS,1,0,0,1
Craig ES,1,0,0,1
Creekland MS,5,0,2,7
Crews MS,9,0,0,9
Dacula ES,2,0,5,7
Dacula HS,3,1,1,5
Dacula MS,58,0,1,59
Discovery HS,2,0,0,2
Duluth HS,13,0,2,15
Duluth MS,10,0,9,19
Duncan Creek ES,8,0,0,8
Dyer ES,15,0,7,22
Ferguson ES,35,1,1,37
Five Forks MS,50,2,0,52
Fort Daniel ES,13,1,2,16
Freeman's Mill ES,5,0,0,5
GIVE East,0,0,1,1
GIVE West,3,0,0,3
Grace Snell MS,10,1,2,13
Graves ES,44,2,7,53
Grayson ES,2,0,0,2
Grayson HS,21,4,0,25
Gwin Oaks ES,8,0,2,10
Gwinnett Online Campus,4,0,0,4
"Gwinnett School of Mathematics, Science, and Technology",1,0,1,2
Harbins ES,25,0,1,26
Harmony ES,2,0,2,4
Harris ES,31,2,0,33
Head ES,2,0,0,2
Hopkins ES,5,0,0,5
Hull MS,3,0,0,3
International Transition Center,0,0,1,1
Ivy Creek ES,7,1,4,12
Jackson ES,5,0,0,5
Jenkins ES,3,0,0,3
Jones MS,24,2,0,26
Jordan MS,0,0,1,1
Kanoheda ES,29,1,2,32
Knight ES,39,1,8,48
Lanier HS,36,4,3,43
Lanier MS,20,0,2,22
Lawrenceville ES,0,1,0,1
Level Creek ES,5,1,0,6
Lilburn ES,30,0,3,33
Lilburn MS,1,0,2,3
Lovin ES,42,2,1,45
Magill ES,5,0,0,5
Mason ES,3,0,0,3
Maxwell HS of Technology,18,2,2,22
McClure Health Science HS,0,0,0,0
McConnell MS,10,0,0,10
McKendree ES,34,2,0,36
Meadowcreek ES,4,0,0,4
Meadowcreek HS,19,0,9,28
Mill Creek HS,78,2,0,80
Minor ES,38,1,2,41
Moore MS,0,0,0,0
Mountain Park ES,2,0,0,2
Mountain View HS,82,3,4,89
Mulberry ES,7,0,2,9
Nesbit ES,7,1,1,9
Norcross ES,6,0,0,6
Norcross HS,22,3,1,26
North Gwinnett HS,68,1,4,73
North Gwinnett MS,69,1,0,70
Northbrook MS,13,2,1,16
Norton ES,13,1,0,14
Oakland Meadow School,2,0,0,2
Osborne MS,26,0,1,27
Parkview HS,23,2,4,29
Parsons ES,3,1,0,4
Partee ES,2,0,0,2
Patrick ES,1,1,0,2
Paul Duke STEM HS,3,1,1,5
Peachtree ES,20,0,5,25
Peachtree Ridge HS,11,2,3,16
Pharr ES,2,0,0,2
Phoenix HS,1,0,0,1
Pinckneyville MS,17,0,3,20
Puckett's Mill ES,19,0,1,20
Radloff MS,10,1,0,11
Richards MS,19,2,1,22
Riverside ES,27,1,0,28
Roberts ES,10,2,1,13
Rock Springs ES,0,0,0,0
Rockbridge ES,1,1,1,3
Rosebud ES,8,2,0,10
Shiloh ES,2,1,0,3
Shiloh HS,4,0,0,4
Shiloh MS,55,1,3,59
Simonton ES,1,0,1,2
Simpson ES,6,1,0,7
Snellville MS,1,0,0,1
South Gwinnett HS,8,1,2,11
Starling ES,2,1,0,3
Stripling ES,3,0,1,4
Sugar Hill ES,32,1,5,38
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,6,0,1,7
Sycamore ES,6,0,0,6
Taylor ES,21,1,0,22
Trickum MS,17,1,0,18
Trip ES,26,0,0,26
Twin Rivers MS,69,3,0,72
Walnut Grove ES,11,1,1,13
White Oak ES,78,0,4,82
Winn Holt ES,5,0,0,5
Woodward Mill ES,3,0,0,3
