School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,,1,1,1
Alford ES,,,,0
Anderson-Livsey ES,1,1,,1
Annistown ES,1,,,1
Arcado ES,1,,,1
Archer HS,4,,,4
Baggett ES,2,3,3,5
Baldwin ES,,,,0
Bay Creek MS,,1,1,1
Beaver Ridge ES,,,,0
Benefield ES,,,,0
Berkeley Lake ES,,,,0
Berkmar HS,2,1,1,3
Berkmar MS,,,,0
Bethesda ES,2,,,2
Britt ES,,,,0
Brookwood ES,1,,,1
Brookwood HS,2,1,1,3
Buice Center,,3,3,3
Burnette ES,,,,0
Camp Creek ES,,1,1,1
Cedar Hill ES,1,2,2,3
Centerville ES,,1,1,1
Central Gwinnett HS,,,,0
Chattahoochee ES,,,,0
Chesney ES,,,,0
Coleman MS,,,,0
Collins Hill HS,2,,,2
Cooper ES,1,,,1
Corley ES,,,,0
Couch MS,,,,0
Craig ES,,,,0
Creekland MS,1,1,1,2
Crews MS,,1,1,1
Dacula ES,2,,,2
Dacula HS,,,,0
Dacula MS,1,1,,2
Discovery HS,,3,3,3
Duluth HS,7,2,2,9
Duluth MS,1,1,1,2
Duncan Creek ES,2,,,2
Dyer ES,1,,,1
Ferguson ES,1,1,1,2
Five Forks MS,,,0,0
Fort Daniel ES,,,0,0
Freeman's Mill ES,2,,2,2
GIVE East,2,,1,3
GIVE West,,,0,0
Grace Snell MS,2,,2,2
Graves ES,2,,2,2
Grayson ES,1,1,1,3
Grayson HS,,,0,0
Gwin Oaks ES,,,0,0
Gwinnett Online Campus,,,0,0
"Gwinnett School of Mathematics, Science, and Technology",,,0,0
Harbins ES,6,,1,7
Harmony ES,,,0,0
Harris ES,1,,1,1
Head ES,,,0,0
Hopkins ES,1,1,1,1
Hull MS,1,1,2,3
International Transition Center,,,0,0
Ivy Creek ES,2,1,3,3
Jackson ES,,,0,0
Jenkins ES,,,0,0
Jones MS,1,,3,4
Jordan MS,3,2,5,10
Kanoheda ES,2,,1,3
Knight ES,,,1,1
Lanier HS,,,0,0
Lanier MS,,,0,0
Lawrenceville ES,,,0,0
Level Creek ES,,,0,0
Lilburn ES,2,,2,2
Lilburn MS,4,,2,6
Lovin ES,,,0,0
Magill ES,6,,6,6
Mason ES,,,1,1
Maxwell HS of Technology,1,,1,1
McClure Health Science HS,,,0,0
McConnell MS,,,0,0
McKendree ES,,,0,0
Meadowcreek ES,1,,1,2
Meadowcreek HS,1,,7,8
Mill Creek HS,2,,2,4
Minor ES,1,,1,2
Moore MS,,,0,0
Mountain Park ES,,,0,0
Mountain View HS,,,0,0
Mulberry ES,5,3,3,8
Nesbit ES,1,,1,1
Norcross ES,3,1,1,4
Norcross HS,2,3,3,5
North Gwinnett HS,,1,1,1
North Gwinnett MS,1,1,1,2
Northbrook MS,1,1,1,1
Norton ES,1,1,1,2
Oakland Meadow School,5,1,1,6
Osborne MS,2,1,3,3
Parkview HS,6,1,1,7
Parsons ES,,,0,0
Partee ES,1,1,1,1
Patrick ES,,,0,0
Paul Duke STEM HS,,,0,0
Peachtree ES,3,,3,3
Peachtree Ridge HS,1,1,1,2
Pharr ES,6,1,1,7
Phoenix HS,,1,1,1
Pinckneyville MS,1,,1,1
Puckett's Mill ES,1,,1,1
Radloff MS,,,0,0
Richards MS,,1,1,1
Riverside ES,,,0,0
Roberts ES,,,0,0
Rock Springs ES,,2,2,2
Rockbridge ES,2,,2,2
Rosebud ES,,1,1,1
Shiloh ES,1,2,2,3
Shiloh HS,2,,2,2
Shiloh MS,,,0,0
Simonton ES,1,,1,1
Simpson ES,,,0,0
Snellville MS,1,1,1,2
South Gwinnett HS,2,,2,2
Starling ES,,,0,0
Stripling ES,,3,3,3
Sugar Hill ES,1,,1,1
Summerour MS,2,1,1,3
Suwanee ES,,,0,0
Sweetwater MS,1,1,1,2
Sycamore ES,,,0,0
Taylor ES,,1,1,1
Trickum MS,,,,0
Trip ES,,,,0
Twin Rivers MS,1,,,1
Walnut Grove ES,1,,,1
White Oak ES,,,,0
Winn Holt ES,8,,4,12
Woodward Mill ES,1,,3,4
