School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,1,0,1,2
Arcado ES,7,0,1,8
Archer HS,16,2,3,21
Baldwin ES,2,0,0,2
Bay Creek MS,4,0,0,4
Benefield ES,7,2,0,9
Berkeley Lake ES,2,0,0,2
Berkmar HS,1,0,0,1
Berkmar MS,0,1,0,1
Bethesda ES,2,0,0,2
Britt ES,2,0,0,2
Brookwood ES,3,0,0,3
Brookwood HS,29,4,2,35
Burnette ES,5,1,2,8
Cedar Hill ES,3,0,0,3
Chattahoochee ES,1,0,0,1
Chesney ES,3,0,0,3
Coleman MS,4,1,0,5
Collins Hill HS,29,2,0,31
Cooper ES,16,1,1,18
Couch MS,5,0,2,7
Craig ES,4,0,0,4
Creekland MS,3,0,0,3
Crews MS,5,0,0,5
Dacula ES,2,0,1,3
Dacula HS,3,1,0,4
Dacula MS,19,1,2,22
Discovery HS,5,1,0,6
Duluth HS,9,2,1,12
Duluth MS,2,0,0,2
Duncan Creek ES,5,1,0,6
Dyer ES,4,0,0,4
Ferguson ES,3,0,1,4
Five Forks MS,5,0,0,5
Fort Daniel ES,6,0,0,6
Freeman's Mill ES,3,0,0,3
GIVE East,3,1,0,4
Grace Snell MS,8,2,1,11
Graves ES,3,1,0,4
Grayson ES,3,0,0,3
Grayson HS,3,0,1,4
Gwin Oaks ES,1,0,0,1
"Gwinnett School of Mathematics, Science, and Technology",1,0,0,1
Harbins ES,2,0,0,2
Harmony ES,13,0,1,14
Harris ES,16,2,0,18
Hopkins ES,1,0,0,1
Hull MS,3,0,0,3
Ivy Creek ES,6,1,3,10
Jackson ES,4,1,0,5
Jenkins ES,2,0,0,2
Jones MS,6,0,0,6
Jordan MS,2,0,0,2
Kanoheda ES,0,0,1,1
Knight ES,6,0,1,7
Lanier HS,55,3,4,62
Lanier MS,8,1,0,9
Level Creek ES,3,0,0,3
Lilburn MS,6,1,0,7
Lovin ES,6,0,0,6
Magill ES,1,0,0,1
Mason ES,3,0,2,5
McConnell MS,8,1,0,9
Meadowcreek HS,1,2,0,3
Mill Creek HS,35,5,0,40
Minor ES,2,0,1,3
Moore MS,5,1,0,6
Mountain Park ES,2,0,0,2
Mountain View HS,8,1,0,9
Nesbit ES,1,0,0,1
Norcross ES,2,0,0,2
Norcross HS,15,0,1,16
North Gwinnett HS,33,1,4,38
North Gwinnett MS,12,0,2,14
Osborne MS,30,1,0,31
Parkview HS,6,0,3,9
Patrick ES,1,1,0,2
Paul Duke STEM HS,2,1,0,3
Peachtree ES,2,0,1,3
Peachtree Ridge HS,2,1,0,3
Pinckneyville MS,2,0,0,2
Puckett's Mill ES,9,1,2,12
Richards MS,2,0,0,2
Riverside ES,6,0,0,6
Rock Springs ES,3,0,0,3
Shiloh ES,0,0,1,1
Shiloh HS,6,2,1,9
Shiloh MS,0,1,0,1
Simonton ES,1,0,0,1
Simpson ES,1,0,0,1
South Gwinnett HS,3,1,0,4
Starling ES,3,0,1,4
Sugar Hill ES,13,0,3,16
Summerour MS,2,1,0,3
Sweetwater MS,4,1,0,5
Sycamore ES,7,1,4,12
Trickum MS,3,0,0,3
Trip ES,5,0,0,5
Twin Rivers MS,32,2,0,34
White Oak ES,7,0,2,9
Winn Holt ES,5,0,0,5
