School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,20,2,5,27
Alford ES,30,4,4,38
Anderson-Livsey ES,0,1,1,2
Annistown ES,22,2,0,24
Arcado ES,5,0,1,6
Archer HS,103,14,15,132
Baggett ES,64,3,5,72
Baldwin ES,11,6,1,18
Bay Creek MS,14,2,5,21
Beaver Ridge ES,32,4,0,36
Benefield ES,35,7,2,44
Berkeley Lake ES,11,3,0,14
Berkmar HS,53,14,9,76
Berkmar MS,31,4,7,42
Bethesda ES,48,5,1,54
Britt ES,7,0,3,10
Brookwood ES,53,7,3,63
Brookwood HS,121,20,3,144
Buice Center,9,4,0,13
Burnette ES,9,1,2,12
Camp Creek ES,75,8,3,86
Cedar Hill ES,40,6,3,49
Centerville ES,36,1,3,40
Central Gwinnett HS,20,11,2,33
Chattahoochee ES,35,4,11,50
Chesney ES,16,2,5,23
Coleman MS,22,4,1,27
Collins Hill HS,33,4,1,38
Cooper ES,20,2,1,23
Corley ES,19,3,3,25
Couch MS,11,6,2,19
Craig ES,34,2,4,40
Creekland MS,24,6,15,45
Crews MS,55,6,1,62
Dacula ES,30,3,9,42
Dacula HS,24,11,5,40
Dacula MS,45,9,2,56
Discovery HS,31,11,4,46
Duluth HS,34,4,9,47
Duluth MS,46,9,10,65
Duncan Creek ES,28,2,1,31
Dyer ES,21,1,1,23
Ferguson ES,72,1,3,76
Five Forks MS,15,2,0,17
Fort Daniel ES,1,1,0,2
Freeman's Mill ES,18,2,0,20
GIVE East,3,0,1,4
GIVE West,3,0,3,6
Grace Snell MS,4,1,4,9
Graves ES,9,2,3,14
Grayson ES,37,2,1,40
Grayson HS,51,10,2,63
Gwin Oaks ES,37,7,3,47
Gwinnett Online Campus,4,2,1,7
"Gwinnett School of Mathematics, Science, and Technology",8,1,4,13
Harbins ES,108,12,9,129
Harmony ES,17,1,8,26
Harris ES,16,6,2,24
Head ES,9,0,0,9
Hopkins ES,22,5,1,28
Hull MS,19,5,1,25
International Transition Center,6,0,1,7
Ivy Creek ES,33,2,3,38
Jackson ES,14,3,2,19
Jenkins ES,14,4,2,20
Jones MS,40,3,2,45
Jordan MS,10,6,3,19
Kanoheda ES,17,1,1,19
Knight ES,30,6,7,43
Lanier HS,59,7,10,76
Lanier MS,72,15,4,91
Lawrenceville ES,0,2,1,3
Level Creek ES,13,0,0,13
Lilburn ES,7,4,1,12
Lilburn MS,16,4,5,25
Lovin ES,24,2,2,28
Magill ES,89,5,1,95
Mason ES,9,3,3,15
Maxwell,3,2,1,6
McClure Health Science HS,10,4,4,18
McConnell MS,75,7,5,87
McKendree ES,77,13,0,90
Meadowcreek ES,62,7,7,76
Meadowcreek HS,20,3,5,28
Mill Creek HS,139,16,4,159
Minor ES,21,0,6,27
Moore MS,18,2,1,21
Mountain Park ES,6,0,0,6
Mountain View HS,98,9,11,118
Mulberry ES,35,7,4,46
Nesbit ES,135,2,4,141
Norcross ES,49,3,5,57
Norcross HS,39,7,2,48
North Gwinnett HS,76,11,7,94
North Gwinnett MS,63,11,5,79
Northbrook MS,16,5,3,24
Norton ES,30,3,2,35
Oakland Meadow School,1,0,3,4
Osborne MS,75,5,5,85
Parkview HS,50,10,14,74
Parsons ES,12,0,4,16
Partee ES,15,2,0,17
Patrick ES,10,0,4,14
Paul Duke STEM HS,6,4,0,10
Peachtree ES,40,0,6,46
Peachtree Ridge HS,20,2,2,24
Pharr ES,15,3,0,18
Phoenix HS,3,2,0,5
Pinckneyville MS,33,2,7,42
Puckett's Mill ES,37,5,7,49
Radloff MS,14,4,0,18
Richards MS,70,16,10,96
Riverside ES,9,1,0,10
Roberts ES,13,2,2,17
Rock Springs ES,19,7,2,28
Rockbridge ES,33,2,0,35
Rosebud ES,44,7,5,56
Shiloh ES,11,2,0,13
Shiloh HS,4,2,2,8
Shiloh MS,13,4,0,17
Simonton ES,32,2,2,36
Simpson ES,19,4,0,23
Snellville MS,24,3,0,27
South Gwinnett HS,28,9,6,43
Starling ES,21,8,3,32
Stripling ES,8,0,2,10
Sugar Hill ES,37,6,0,43
Summerour MS,8,3,2,13
Suwanee ES,3,2,0,5
Sweetwater MS,13,7,4,24
Sycamore ES,32,1,2,35
Taylor ES,14,2,0,16
Trickum MS,43,4,5,52
Trip ES,54,3,5,62
Twin Rivers MS,145,14,6,165
Walnut Grove ES,10,1,0,11
White Oak ES,15,2,4,21
Winn Holt ES,18,2,3,23
Woodward Mill ES,2,3,1,6
