School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,3,0,0,3
Alford ES,2,0,0,2
Annistown ES,15,2,0,17
Arcado ES,4,0,0,4
Archer HS,4,1,2,7
Baggett ES,1,1,0,2
Baldwin ES,2,0,0,2
Beaver Ridge ES,3,0,0,3
Benefield ES,1,0,0,1
Berkeley Lake ES,2,1,0,3
Berkmar HS,10,1,0,11
Berkmar MS,1,0,2,3
Brookwood ES,5,0,0,5
Brookwood HS,38,5,1,44
Buice Center,1,0,0,1
Burnette ES,2,0,2,4
Camp Creek ES,14,1,1,16
Cedar Hill ES,2,0,0,2
Centerville ES,3,0,1,4
Chattahoochee ES,12,1,1,14
Chesney ES,2,4,0,6
Cooper ES,19,3,0,22
Couch MS,0,2,0,2
Craig ES,2,1,0,3
Creekland MS,3,1,0,4
Crews MS,4,0,0,4
Dacula ES,1,1,0,2
Dacula HS,3,1,0,4
Dacula MS,28,2,0,30
Discovery HS,7,1,0,8
Duluth HS,4,2,0,6
Duluth MS,0,0,3,3
Duncan Creek ES,11,1,0,12
Dyer ES,1,1,0,2
Five Forks MS,1,0,0,1
Fort Daniel ES,1,0,0,1
Freeman's Mill ES,3,0,1,4
Grace Snell MS,2,0,1,3
Graves ES,3,0,0,3
Grayson HS,2,0,0,2
Gwin Oaks ES,0,0,1,1
Gwinnett Online Campus,1,3,0,4
"Gwinnett School of Mathematics, Science, and Technology",0,2,0,2
Harbins ES,12,1,0,13
Harris ES,1,1,0,2
Head ES,14,3,0,17
Hopkins ES,1,1,0,2
Hull MS,3,1,0,4
Ivy Creek ES,3,1,0,4
Jackson ES,4,1,0,5
Jenkins ES,2,0,0,2
Jones MS,1,0,0,1
Jordan MS,12,3,1,16
Lanier HS,15,1,1,17
Lanier MS,5,0,1,6
Level Creek ES,6,0,1,7
Lilburn MS,1,0,0,1
Lovin ES,1,0,0,1
Magill ES,23,1,1,25
Mason ES,6,0,2,8
McClure Health Science HS,1,0,0,1
McConnell MS,6,0,0,6
McKendree ES,8,1,0,9
Meadowcreek HS,4,2,0,6
Mill Creek HS,23,1,1,25
Minor ES,2,0,1,3
Mountain Park ES,2,1,0,3
Mountain View HS,29,0,2,31
Mulberry ES,11,1,2,14
Norcross ES,2,0,0,2
Norcross HS,11,1,0,12
North Gwinnett HS,0,0,1,1
North Gwinnett MS,3,1,0,4
Osborne MS,22,1,0,23
Parkview HS,3,1,0,4
Parsons ES,0,1,0,1
Partee ES,2,1,0,3
Patrick ES,3,1,0,4
Paul Duke STEM HS,4,1,0,5
Peachtree ES,2,0,1,3
Peachtree Ridge HS,1,1,1,3
Pharr ES,2,0,0,2
Pinckneyville MS,41,1,3,45
Puckett's Mill ES,1,1,1,3
Radloff MS,1,0,0,1
Richards MS,8,2,0,10
Riverside ES,1,1,0,2
Rock Springs ES,5,0,0,5
Rosebud ES,0,1,0,1
Shiloh ES,9,1,0,10
Shiloh HS,0,0,1,1
Shiloh MS,1,1,0,2
South Gwinnett HS,1,1,1,3
Starling ES,0,1,0,1
Stripling ES,1,0,1,2
Sugar Hill ES,5,1,0,6
Suwanee ES,0,1,0,1
Sweetwater MS,7,1,0,8
Sycamore ES,2,0,0,2
Taylor ES,4,0,0,4
Trip ES,1,0,0,1
Twin Rivers MS,0,4,0,4
Winn Holt ES,2,0,0,2
