School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,35,0,0,35
Arcado ES,1,0,0,1
Archer HS,32,1,5,38
Baggett ES,12,1,0,13
Bay Creek MS,1,0,0,1
Benefield ES,10,1,0,11
Berkmar MS,1,0,0,1
Bethesda ES,1,0,0,1
Brookwood ES,2,0,0,2
Brookwood HS,2,0,0,2
Burnette ES,1,0,0,1
Camp Creek ES,1,0,0,1
Cedar Hill ES,9,1,0,10
Central Gwinnett HS,6,1,0,7
Chesney ES,0,1,0,1
Coleman MS,1,0,0,1
Collins Hill HS,1,0,0,1
Corley ES,1,0,0,1
Duluth HS,2,0,1,3
Duluth MS,0,0,1,1
Duncan Creek ES,2,0,0,2
Dyer ES,1,0,1,2
Ferguson ES,24,1,0,25
Five Forks MS,16,1,0,17
Fort Daniel ES,9,0,1,10
Grace Snell MS,1,0,1,2
Graves ES,4,0,0,4
Grayson ES,2,0,0,2
Grayson HS,0,1,0,1
Gwin Oaks ES,3,0,0,3
Harbins ES,2,0,1,3
Harris ES,2,0,0,2
Hopkins ES,1,0,0,1
Hull MS,1,0,0,1
International Transition Center,0,0,1,1
Kanoheda ES,1,0,0,1
Knight ES,2,0,1,3
Lanier MS,0,1,0,1
Lawrenceville ES,0,1,0,1
Lilburn ES,8,0,0,8
Lovin ES,17,0,0,17
Magill ES,4,0,0,4
McKendree ES,34,1,0,35
Meadowcreek HS,4,0,1,5
Minor ES,18,1,1,20
Mountain Park ES,1,0,0,1
Mountain View HS,12,1,1,14
Mulberry ES,1,1,0,2
Nesbit ES,0,1,0,1
Norcross HS,5,1,0,6
North Gwinnett MS,2,0,0,2
Northbrook MS,6,2,0,8
Norton ES,1,0,0,1
Osborne MS,4,0,0,4
Parkview HS,0,0,1,1
Patrick ES,1,0,0,1
Peachtree Ridge HS,6,1,1,8
Pinckneyville MS,1,0,0,1
Puckett's Mill ES,1,0,0,1
Radloff MS,1,0,0,1
Richards MS,4,1,0,5
Simpson ES,1,0,0,1
Sugar Hill ES,1,0,0,1
Woodward Mill ES,1,0,0,1
