School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,17,0,2,19
Alford ES,26,0,2,28
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,1,0,0,1
Archer HS,14,1,4,19
Baggett ES,12,0,0,12
Baldwin ES,0,0,0,0
Bay Creek MS,0,0,1,1
Beaver Ridge ES,2,0,0,2
Benefield ES,22,1,0,23
Berkeley Lake ES,1,0,1,2
Berkmar HS,2,0,1,3
Berkmar MS,5,0,0,5
Bethesda ES,4,0,0,4
Britt ES,2,0,0,2
Brookwood ES,4,0,0,4
Brookwood HS,16,0,2,18
Buice Center,0,1,0,1
Burnette ES,1,0,0,1
Camp Creek ES,20,0,0,20
Cedar Hill ES,2,0,0,2
Centerville ES,1,0,0,1
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,8,0,2,10
Chesney ES,12,1,0,13
Coleman MS,4,0,0,4
Collins Hill HS,3,0,0,3
Cooper ES,6,0,0,6
Corley ES,1,0,1,2
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,4,0,1,5
Crews MS,9,0,0,9
Dacula ES,15,0,7,22
Dacula HS,4,1,1,6
Dacula MS,22,0,1,23
Discovery HS,3,2,0,5
Duluth HS,15,3,5,23
Duluth MS,16,2,8,26
Duncan Creek ES,44,1,0,45
Dyer ES,17,0,1,18
Ferguson ES,2,0,0,2
Five Forks MS,24,1,0,25
Fort Daniel ES,4,0,0,4
Freeman's Mill ES,9,2,0,11
GIVE East,1,0,1,2
GIVE West,0,0,0,0
Grace Snell MS,4,0,0,4
Graves ES,3,0,1,4
Grayson ES,0,0,0,0
Grayson HS,20,2,0,22
Gwin Oaks ES,0,1,0,1
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,19,1,0,20
Harmony ES,3,1,2,6
Harris ES,1,0,0,1
Head ES,1,0,0,1
Hopkins ES,3,0,0,3
Hull MS,1,0,1,2
International Transition Center,0,0,0,0
Ivy Creek ES,8,0,2,10
Jackson ES,6,0,0,6
Jenkins ES,4,0,0,4
Jones MS,6,0,0,6
Jordan MS,6,1,0,7
Kanoheda ES,2,0,0,2
Knight ES,13,0,2,15
Lanier HS,29,1,1,31
Lanier MS,0,0,0,0
Lawrenceville ES,0,1,0,1
Level Creek ES,4,0,0,4
Lilburn ES,8,2,2,12
Lilburn MS,4,0,0,4
Lovin ES,1,0,0,1
Magill ES,9,1,0,10
Mason ES,9,2,0,11
Maxwell HS of Technology,2,0,0,2
McClure Health Science HS,6,0,0,6
McConnell MS,5,0,1,6
McKendree ES,0,1,0,1
Meadowcreek ES,0,1,0,1
Meadowcreek HS,10,0,8,18
Mill Creek HS,79,2,0,81
Minor ES,1,0,0,1
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,31,1,2,34
Mulberry ES,0,0,0,0
Nesbit ES,0,0,0,0
Norcross ES,3,0,0,3
Norcross HS,12,3,0,15
North Gwinnett HS,40,4,1,45
North Gwinnett MS,50,3,3,56
Northbrook MS,5,0,3,8
Norton ES,3,0,0,3
Oakland Meadow School,0,1,1,2
Osborne MS,33,2,0,35
Parkview HS,6,1,0,7
Parsons ES,1,0,0,1
Partee ES,0,0,0,0
Patrick ES,2,0,0,2
Paul Duke STEM HS,1,1,1,3
Peachtree ES,16,0,8,24
Peachtree Ridge HS,2,1,3,6
Pharr ES,2,0,0,2
Phoenix HS,0,0,0,0
Pinckneyville MS,13,0,2,15
Puckett's Mill ES,3,0,0,3
Radloff MS,7,1,1,9
Richards MS,11,0,7,18
Riverside ES,0,0,0,0
Roberts ES,1,2,1,4
Rock Springs ES,0,0,0,0
Rockbridge ES,2,1,0,3
Rosebud ES,0,0,0,0
Shiloh ES,4,0,0,4
Shiloh HS,1,1,1,3
Shiloh MS,0,0,1,1
Simonton ES,1,0,0,1
Simpson ES,13,1,0,14
Snellville MS,1,0,0,1
South Gwinnett HS,19,5,9,33
Starling ES,7,1,4,12
Stripling ES,0,0,0,0
Sugar Hill ES,12,1,0,13
Summerour MS,4,1,0,5
Suwanee ES,12,0,0,12
Sweetwater MS,11,1,0,12
Sycamore ES,1,0,0,1
Taylor ES,0,0,0,0
Trickum MS,3,1,0,4
Trip ES,2,0,0,2
Twin Rivers MS,33,0,0,33
Walnut Grove ES,0,0,2,2
White Oak ES,7,0,0,7
Winn Holt ES,1,0,0,1
Woodward Mill ES,1,1,2,4
