School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,,,0,0
Alford ES,,,0,0
Anderson-Livsey ES,1,1,1,1
Annistown ES,1,,1,1
Arcado ES,1,1,1,2
Archer HS,1,1,1,2
Baggett ES,1,,1,1
Baldwin ES,,,0,0
Bay Creek MS,,,0,0
Beaver Ridge ES,3,1,4,4
Benefield ES,,,0,0
Berkeley Lake ES,2,,2,2
Berkmar HS,1,1,2,4
Berkmar MS,,,0,0
Bethesda ES,2,,2,2
Britt ES,,1,1,1
Brookwood ES,1,,1,1
Brookwood HS,,,0,0
Buice Center,1,2,2,3
Burnette ES,,1,1,1
Camp Creek ES,1,2,2,3
Cedar Hill ES,,1,1,1
Centerville ES,,,0,0
Central Gwinnett HS,,,0,0
Chattahoochee ES,,,0,0
Chesney ES,,,0,0
Coleman MS,,,0,0
Collins Hill HS,3,1,1,5
Cooper ES,3,2,2,5
Corley ES,,,0,0
Couch MS,,,0,0
Craig ES,,1,1,1
Creekland MS,,,0,0
Crews MS,4,2,6,6
Dacula ES,2,,2,2
Dacula HS,,1,1,1
Dacula MS,2,,2,2
Discovery HS,1,1,1,2
Duluth HS,7,6,6,13
Duluth MS,,1,1,1
Duncan Creek ES,2,,2,2
Dyer ES,,,0,0
Ferguson ES,1,,1,1
Five Forks MS,,,,0
Fort Daniel ES,,,,0
Freeman's Mill ES,,,,0
GIVE East,,,,0
GIVE West,,,,0
Grace Snell MS,,,1,1
Graves ES,,,,0
Grayson ES,1,2,,3
Grayson HS,1,,3,4
Gwin Oaks ES,1,,,1
Gwinnett Online Campus,,,,0
"Gwinnett School of Mathematics, Science, and Technology",,,,0
Harbins ES,,,1,1
Harmony ES,,,,0
Harris ES,,,,0
Head ES,,,,0
Hopkins ES,1,1,,2
Hull MS,,,,0
International Transition Center,,,,0
Ivy Creek ES,1,,,1
Jackson ES,,,,0
Jenkins ES,7,,1,8
Jones MS,,,,0
Jordan MS,3,,5,8
Kanoheda ES,2,,,2
Knight ES,1,,1,2
Lanier HS,,,,0
Lanier MS,,,,0
Lawrenceville ES,,,,0
Level Creek ES,,,,0
Lilburn ES,,,1,1
Lilburn MS,1,1,2,4
Lovin ES,,,,0
Magill ES,,,,0
Mason ES,,,2,2
Maxwell HS of Technology,,,,0
McClure Health Science HS,,,,0
McConnell MS,,,,0
McKendree ES,,,,0
Meadowcreek ES,1,,,1
Meadowcreek HS,3,,5,8
Mill Creek HS,2,,2,4
Minor ES,,,,0
Moore MS,1,1,,1
Mountain Park ES,,,0,0
Mountain View HS,,,0,0
Mulberry ES,2,,2,2
Nesbit ES,2,,2,2
Norcross ES,,,0,0
Norcross HS,1,1,1,2
North Gwinnett HS,,,0,0
North Gwinnett MS,1,1,1,2
Northbrook MS,4,,4,4
Norton ES,,,0,0
Oakland Meadow School,1,1,1,2
Osborne MS,2,1,1,3
Parkview HS,6,3,3,9
Parsons ES,,,0,0
Partee ES,1,1,1,2
Patrick ES,,,0,0
Paul Duke STEM HS,,,0,0
Peachtree ES,1,,1,1
Peachtree Ridge HS,1,1,3,4
Pharr ES,,,0,0
Phoenix HS,,,0,0
Pinckneyville MS,,,0,0
Puckett's Mill ES,1,1,2,2
Radloff MS,,,0,0
Richards MS,2,2,2,4
Riverside ES,1,1,1,2
Roberts ES,,,0,0
Rock Springs ES,1,3,3,4
Rockbridge ES,,,0,0
Rosebud ES,,,0,0
Shiloh ES,1,2,2,3
Shiloh HS,,1,1,1
Shiloh MS,,,0,0
Simonton ES,1,,1,1
Simpson ES,4,,4,4
Snellville MS,,1,1,1
South Gwinnett HS,,,0,0
Starling ES,,1,1,1
Stripling ES,,1,1,1
Sugar Hill ES,,1,1,1
Summerour MS,3,1,1,4
Suwanee ES,,,0,0
Sweetwater MS,,3,3,3
Sycamore ES,,,0,0
Taylor ES,,,0,0
Trickum MS,,,0,0
Trip ES,,,0,0
Twin Rivers MS,3,,3,3
Walnut Grove ES,1,,1,1
White Oak ES,,,0,0
Winn Holt ES,18,6,6,24
Woodward Mill ES,1,4,4,5
