School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,,,2,2
Alford ES,2,,,2
Anderson-Livsey ES,,1,,1
Annistown ES,1,,,1
Arcado ES,1,,,1
Archer HS,4,,,4
Baggett ES,2,,3,5
Baldwin ES,,,,0
Bay Creek MS,,,3,3
Beaver Ridge ES,,,,0
Benefield ES,,,,0
Berkeley Lake ES,,,3,3
Berkmar HS,7,,,7
Berkmar MS,,,,0
Bethesda ES,2,,,2
Britt ES,,,,0
Brookwood ES,1,,,1
Brookwood HS,2,,2,4
Buice Center,,,3,3
Burnette ES,,,,0
Camp Creek ES,,,1,1
Cedar Hill ES,1,,2,3
Centerville ES,,,1,1
Central Gwinnett HS,2,,,2
Chattahoochee ES,4,1,1,5
Chesney ES,,,,0
Coleman MS,,,,0
Collins Hill HS,2,,,2
Cooper ES,2,1,1,3
Corley ES,,,,0
Couch MS,1,,,1
Craig ES,,,,0
Creekland MS,2,2,2,4
Crews MS,,1,1,1
Dacula ES,2,,,2
Dacula HS,,,,0
Dacula MS,1,1,,2
Discovery HS,,3,3,3
Duluth HS,12,1,1,13
Duluth MS,1,1,1,2
Duncan Creek ES,8,1,1,9
Dyer ES,2,,,2
Ferguson ES,1,1,1,2
Five Forks MS,1,,,1
Fort Daniel ES,,1,1,1
Freeman's Mill ES,2,,,2
GIVE East,2,1,1,3
GIVE West,2,1,1,3
Grace Snell MS,3,1,,4
Graves ES,2,,,2
Grayson ES,,1,1,1
Grayson HS,,,,0
Gwin Oaks ES,3,1,1,4
Gwinnett Online Campus,1,,,1
"Gwinnett School of Mathematics, Science, and Technology",,,,0
Harbins ES,7,1,1,8
Harmony ES,,,,0
Harris ES,1,,,1
Head ES,1,1,1,2
Hopkins ES,1,1,,1
Hull MS,1,1,2,3
International Transition Center,,,,0
Ivy Creek ES,2,1,,3
Jackson ES,1,,,1
Jenkins ES,,,,0
Jones MS,2,3,3,5
Jordan MS,3,2,5,10
Kanoheda ES,,1,1,1
Knight ES,,,,0
Lanier HS,1,2,2,3
Lanier MS,,,,0
Lawrenceville ES,,,,0
Level Creek ES,,,,0
Lilburn ES,2,,,2
Lilburn MS,7,1,1,8
Lovin ES,,,,0
Magill ES,6,,,6
Mason ES,,1,1,1
Maxwell HS of Technology,1,,,1
McClure Health Science HS,,1,1,1
McConnell MS,,,,0
McKendree ES,,,,0
Meadowcreek ES,1,1,1,2
Meadowcreek HS,1,8,8,9
Mill Creek HS,1,1,1,2
Minor ES,2,1,1,3
Moore MS,,,,0
Mountain Park ES,,,,0
Mountain View HS,4,2,2,6
Mulberry ES,5,4,4,9
Nesbit ES,,,,0
Norcross ES,3,1,1,4
Norcross HS,3,3,3,6
North Gwinnett HS,2,2,1,5
North Gwinnett MS,1,,,1
Northbrook MS,1,1,,1
Norton ES,1,1,1,2
Oakland Meadow School,5,1,1,6
Osborne MS,2,,,2
Parkview HS,6,2,2,8
Parsons ES,,,,0
Partee ES,1,,,1
Patrick ES,,,,0
Paul Duke STEM HS,,,,0
Peachtree ES,5,1,1,6
Peachtree Ridge HS,1,1,1,2
Pharr ES,6,1,1,7
Phoenix HS,,1,1,1
Pinckneyville MS,1,1,1,2
Puckett's Mill ES,4,2,2,6
Radloff MS,,,,0
Richards MS,,2,2,2
Riverside ES,,,,0
Roberts ES,,,1,1
Rock Springs ES,,,2,2
Rockbridge ES,2,,,2
Rosebud ES,,,1,1
Shiloh ES,2,,2,4
Shiloh HS,28,,1,29
Shiloh MS,,,,0
Simonton ES,1,1,,1
Simpson ES,,,,0
Snellville MS,1,,1,2
South Gwinnett HS,2,,,2
Starling ES,,,,0
Stripling ES,,,4,4
Sugar Hill ES,1,,,1
Summerour MS,2,,1,3
Suwanee ES,,,,0
Sweetwater MS,1,1,1,2
Sycamore ES,2,,,2
Taylor ES,,,1,1
Trickum MS,,,1,1
Trip ES,,,1,1
Twin Rivers MS,,,,0
Walnut Grove ES,2,,,2
White Oak ES,1,,,1
Winn Holt ES,12,,4,16
Woodward Mill ES,3,,3,6
