School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,0,6,6
Alford ES,0,0,0,0
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,21,1,2,24
Archer HS,7,0,4,11
Baggett ES,11,1,2,14
Baldwin ES,0,0,2,2
Bay Creek MS,1,0,3,4
Beaver Ridge ES,0,0,1,1
Benefield ES,1,0,0,1
Berkeley Lake ES,2,0,8,10
Berkmar HS,82,1,3,86
Berkmar MS,0,0,0,0
Bethesda ES,1,0,1,2
Britt ES,0,0,0,0
Brookwood ES,2,0,1,3
Brookwood HS,3,0,1,4
Buice Center,9,0,15,24
Burnette ES,1,0,0,1
Camp Creek ES,1,0,0,1
Cedar Hill ES,12,0,2,14
Centerville ES,0,0,0,0
Central Gwinnett HS,4,0,2,6
Chattahoochee ES,9,0,2,11
Chesney ES,5,0,3,8
Coleman MS,0,0,1,1
Collins Hill HS,2,0,2,4
Cooper ES,6,0,1,7
Corley ES,0,0,1,1
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,9,0,2,11
Crews MS,0,0,1,1
Dacula ES,10,0,5,15
Dacula HS,2,0,0,2
Dacula MS,3,0,1,4
Discovery HS,1,0,0,1
Duluth HS,7,0,5,12
Duluth MS,11,0,5,16
Duncan Creek ES,12,1,2,15
Dyer ES,18,0,10,28
Ferguson ES,0,0,1,1
Five Forks MS,0,0,0,0
Fort Daniel ES,2,0,3,5
Freeman's Mill ES,3,0,2,5
GIVE East,1,0,0,1
GIVE West,5,0,2,7
Grace Snell MS,24,0,3,27
Graves ES,2,0,2,4
Grayson ES,0,0,1,1
Grayson HS,1,0,0,1
Gwin Oaks ES,4,0,1,5
Gwinnett Online Campus,2,0,0,2
"Gwinnett School of Mathematics, Science, and Technology",0,0,2,2
Harbins ES,11,0,0,11
Harmony ES,1,0,0,1
Harris ES,0,0,0,0
Head ES,1,0,1,2
Hopkins ES,0,0,0,0
Hull MS,1,0,0,1
International Transition Center,0,0,0,0
Ivy Creek ES,0,0,5,5
Jackson ES,2,0,1,3
Jenkins ES,20,0,1,21
Jones MS,5,0,6,11
Jordan MS,1,1,6,8
Kanoheda ES,1,0,1,2
Knight ES,2,0,2,4
Lanier HS,1,0,0,1
Lanier MS,1,0,0,1
Lawrenceville ES,6,0,1,7
Level Creek ES,1,0,1,2
Lilburn ES,1,0,1,2
Lilburn MS,13,0,9,22
Lovin ES,5,0,4,9
Magill ES,1,0,0,1
Mason ES,0,0,1,1
Maxwell HS of Technology,1,0,0,1
McClure Health Science HS,0,0,1,1
McConnell MS,1,0,5,6
McKendree ES,0,0,1,1
Meadowcreek ES,0,0,4,4
Meadowcreek HS,17,0,5,22
Mill Creek HS,26,2,2,30
Minor ES,2,1,1,4
Moore MS,6,0,1,7
Mountain Park ES,0,0,1,1
Mountain View HS,13,0,8,21
Mulberry ES,13,0,8,21
Nesbit ES,1,0,2,3
Norcross ES,10,0,10,20
Norcross HS,2,0,2,4
North Gwinnett HS,12,0,7,19
North Gwinnett MS,3,0,0,3
Northbrook MS,0,0,0,0
Norton ES,0,0,0,0
Oakland Meadow School,7,0,2,9
Osborne MS,7,0,1,8
Parkview HS,4,0,6,10
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,0,0,0,0
Peachtree ES,3,0,1,4
Peachtree Ridge HS,3,0,3,6
Pharr ES,21,0,1,22
Phoenix HS,0,0,0,0
Pinckneyville MS,1,0,1,2
Puckett's Mill ES,4,0,4,8
Radloff MS,2,0,1,3
Richards MS,7,0,7,14
Riverside ES,1,0,1,2
Roberts ES,0,1,2,3
Rock Springs ES,7,0,0,7
Rockbridge ES,5,1,0,6
Rosebud ES,0,0,0,0
Shiloh ES,1,0,0,1
Shiloh HS,27,0,3,30
Shiloh MS,1,0,1,2
Simonton ES,0,0,1,1
Simpson ES,0,0,0,0
Snellville MS,0,0,0,0
South Gwinnett HS,14,0,4,18
Starling ES,0,0,0,0
Stripling ES,0,0,0,0
Sugar Hill ES,1,0,2,3
Summerour MS,0,0,1,1
Suwanee ES,0,0,0,0
Sweetwater MS,1,0,2,3
Sycamore ES,0,0,1,1
Taylor ES,0,0,2,2
Trickum MS,2,0,3,5
Trip ES,1,0,3,4
Twin Rivers MS,34,1,7,42
Walnut Grove ES,1,0,0,1
White Oak ES,1,0,2,3
Winn Holt ES,13,0,4,17
Woodward Mill ES,3,0,1,4
