School,Close Contact,Positive Case,Suspected Case,Total
Bay Creek MS,0,2,0,2
Berkmar HS,0,0,1,1
Britt ES,2,0,1,3
Central Gwinnett HS,2,0,2,4
Chattahoochee ES,7,0,1,8
Chesney ES,4,0,1,5
Collins Hill HS,0,0,2,2
Creekland MS,0,0,1,1
Dacula ES,7,0,2,9
Duluth HS,4,0,1,5
Duluth MS,0,0,1,1
Ferguson ES,7,0,1,8
Freeman's Mill ES,2,1,0,3
Grayson HS,1,1,0,2
Lanier HS,5,0,0,5
Lilburn ES,0,0,1,1
Lovin ES,2,0,0,2
McClure Health Science HS,1,0,0,1
Meadowcreek HS,2,0,0,2
Mill Creek HS,27,0,2,29
Mountain View HS,1,0,0,1
Norcross ES,2,0,2,4
North Gwinnett HS,15,1,0,16
Osborne MS,29,1,0,30
Parkview HS,0,0,1,1
Paul Duke STEM HS,1,0,0,1
Peachtree ES,0,0,1,1
Peachtree Ridge HS,0,1,0,1
Richards MS,3,0,1,4
Riverside ES,0,0,1,1
Roberts ES,5,1,0,6
South Gwinnett HS,1,0,0,1
Sycamore ES,0,0,1,1
