School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,22,0,10,32
Alford ES,1,0,0,1
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,19,0,1,20
Archer HS,15,0,3,18
Baggett ES,11,1,1,13
Baldwin ES,0,0,2,2
Bay Creek MS,0,0,2,2
Beaver Ridge ES,0,0,0,0
Benefield ES,0,0,0,0
Berkeley Lake ES,2,0,3,5
Berkmar HS,81,0,3,84
Berkmar MS,1,1,2,4
Bethesda ES,12,0,5,17
Britt ES,0,0,1,1
Brookwood ES,1,0,1,2
Brookwood HS,8,0,2,10
Buice Center,6,0,4,10
Burnette ES,1,0,2,3
Camp Creek ES,25,1,1,27
Cedar Hill ES,7,0,3,10
Centerville ES,0,0,0,0
Central Gwinnett HS,2,0,1,3
Chattahoochee ES,15,0,3,18
Chesney ES,5,0,3,8
Coleman MS,0,0,0,0
Collins Hill HS,2,0,3,5
Cooper ES,14,0,5,19
Corley ES,0,0,2,2
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,3,0,2,5
Crews MS,1,0,1,2
Dacula ES,10,1,6,17
Dacula HS,1,0,0,1
Dacula MS,3,0,0,3
Discovery HS,2,0,0,2
Duluth HS,6,0,3,9
Duluth MS,11,1,5,17
Duncan Creek ES,7,1,2,10
Dyer ES,21,1,11,33
Ferguson ES,0,0,1,1
Five Forks MS,2,0,0,2
Fort Daniel ES,2,0,0,2
Freeman's Mill ES,7,0,1,8
GIVE East,1,1,0,2
GIVE West,4,0,1,5
Grace Snell MS,2,0,2,4
Graves ES,8,0,2,10
Grayson ES,10,0,3,13
Grayson HS,1,0,0,1
Gwin Oaks ES,1,0,0,1
Gwinnett Online Campus,1,0,0,1
"Gwinnett School of Mathematics, Science, and Technology",1,0,1,2
Harbins ES,7,0,1,8
Harmony ES,2,0,2,4
Harris ES,0,0,0,0
Head ES,1,0,0,1
Hopkins ES,5,0,1,6
Hull MS,0,0,3,3
International Transition Center,0,0,1,1
Ivy Creek ES,0,0,5,5
Jackson ES,1,2,1,4
Jenkins ES,20,0,1,21
Jones MS,4,0,4,8
Jordan MS,1,0,4,5
Kanoheda ES,1,0,1,2
Knight ES,3,0,3,6
Lanier HS,0,0,4,4
Lanier MS,2,0,0,2
Lawrenceville ES,5,2,2,9
Level Creek ES,1,0,1,2
Lilburn ES,8,0,1,9
Lilburn MS,2,0,9,11
Lovin ES,5,0,1,6
Magill ES,2,0,0,2
Mason ES,6,0,0,6
Maxwell HS of Technology,1,0,0,1
McClure Health Science HS,0,0,0,0
McConnell MS,2,1,6,9
McKendree ES,0,0,1,1
Meadowcreek ES,0,0,2,2
Meadowcreek HS,17,0,4,21
Mill Creek HS,58,9,2,69
Minor ES,18,3,3,24
Moore MS,6,0,2,8
Mountain Park ES,0,0,0,0
Mountain View HS,21,0,6,27
Mulberry ES,20,0,8,28
Nesbit ES,1,0,0,1
Norcross ES,8,0,13,21
Norcross HS,3,0,2,5
North Gwinnett HS,17,2,10,29
North Gwinnett MS,31,1,2,34
Northbrook MS,0,0,0,0
Norton ES,2,0,0,2
Oakland Meadow School,6,0,4,10
Osborne MS,10,0,4,14
Parkview HS,6,0,3,9
Parsons ES,0,0,0,0
Partee ES,2,0,0,2
Patrick ES,0,0,0,0
Paul Duke STEM HS,0,0,1,1
Peachtree ES,7,0,3,10
Peachtree Ridge HS,14,1,2,17
Pharr ES,21,0,1,22
Phoenix HS,0,0,0,0
Pinckneyville MS,1,1,0,2
Puckett's Mill ES,4,0,0,4
Radloff MS,2,0,4,6
Richards MS,7,0,4,11
Riverside ES,4,0,1,5
Roberts ES,0,0,1,1
Rock Springs ES,6,0,0,6
Rockbridge ES,2,1,0,3
Rosebud ES,0,0,0,0
Shiloh ES,1,0,0,1
Shiloh HS,1,0,1,2
Shiloh MS,1,0,1,2
Simonton ES,0,0,0,0
Simpson ES,3,0,1,4
Snellville MS,0,0,0,0
South Gwinnett HS,20,0,4,24
Starling ES,1,1,1,3
Stripling ES,0,0,0,0
Sugar Hill ES,2,0,2,4
Summerour MS,0,1,0,1
Suwanee ES,7,0,0,7
Sweetwater MS,1,0,2,3
Sycamore ES,3,0,0,3
Taylor ES,1,0,4,5
Trickum MS,5,0,3,8
Trip ES,1,0,0,1
Twin Rivers MS,34,0,5,39
Walnut Grove ES,0,0,0,0
White Oak ES,4,0,2,6
Winn Holt ES,19,0,4,23
Woodward Mill ES,4,0,3,7
