School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,0,0,2
Alford ES,1,0,1,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,2,0,0,2
Archer HS,0,0,0,0
Baggett ES,0,0,0,0
Baldwin ES,2,1,0,3
Bay Creek MS,3,1,0,4
Beaver Ridge ES,1,0,0,1
Benefield ES,1,0,0,1
Berkeley Lake ES,4,0,0,4
Berkmar HS,0,1,0,1
Berkmar MS,28,0,6,34
Bethesda ES,0,0,0,0
Britt ES,2,0,0,2
Brookwood ES,1,0,0,1
Brookwood HS,3,1,0,4
Buice Center,0,0,0,0
Burnette ES,3,0,3,6
Camp Creek ES,3,1,0,4
Cedar Hill ES,32,2,0,34
Centerville ES,0,0,0,0
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,1,0,0,1
Chesney ES,3,0,0,3
Coleman MS,1,0,0,1
Collins Hill HS,3,1,0,4
Cooper ES,0,0,0,0
Corley ES,3,0,0,3
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,2,0,0,2
Dacula ES,4,0,0,4
Dacula HS,1,2,1,4
Dacula MS,32,3,2,37
Discovery HS,3,2,1,6
Duluth HS,1,0,1,2
Duluth MS,5,2,3,10
Duncan Creek ES,3,0,0,3
Dyer ES,4,0,2,6
Ferguson ES,1,0,0,1
Five Forks MS,1,0,0,1
Fort Daniel ES,13,2,0,15
Freeman's Mill ES,0,0,0,0
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,23,0,1,24
Graves ES,1,0,0,1
Grayson ES,5,0,1,6
Grayson HS,3,1,0,4
Gwin Oaks ES,10,2,1,13
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,1,1
Harbins ES,0,0,0,0
Harmony ES,3,0,0,3
Harris ES,0,1,0,1
Head ES,0,0,2,2
Hopkins ES,0,0,0,0
Hull MS,0,0,0,0
International Transition Center,0,0,0,0
Ivy Creek ES,7,0,1,8
Jackson ES,6,1,0,7
Jenkins ES,8,2,0,10
Jones MS,6,0,1,7
Jordan MS,0,0,0,0
Kanoheda ES,1,1,0,2
Knight ES,3,1,2,6
Lanier HS,12,3,1,16
Lanier MS,15,1,0,16
Lawrenceville ES,5,1,0,6
Level Creek ES,0,0,0,0
Lilburn ES,19,3,0,22
Lilburn MS,2,0,0,2
Lovin ES,1,0,0,1
Magill ES,18,1,0,19
Mason ES,18,3,0,21
Maxwell,9,1,0,10
McClure Health Science HS,1,0,2,3
McConnell MS,4,0,0,4
McKendree ES,2,2,0,4
Meadowcreek ES,1,0,0,1
Meadowcreek HS,16,0,3,19
Mill Creek HS,24,2,1,27
Minor ES,6,1,0,7
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,3,0,0,3
Mulberry ES,2,0,0,2
Nesbit ES,0,0,0,0
Norcross ES,1,0,1,2
Norcross HS,15,1,2,18
North Gwinnett HS,10,1,2,13
North Gwinnett MS,2,0,1,3
Northbrook MS,1,0,0,1
Norton ES,2,1,0,3
Oakland Meadow School,0,0,0,0
Osborne MS,68,4,0,72
Parkview HS,4,1,3,8
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,18,2,0,20
Peachtree ES,5,0,1,6
Peachtree Ridge HS,4,2,0,6
Pharr ES,1,1,1,3
Phoenix HS,0,0,0,0
Pinckneyville MS,3,1,0,4
Puckett's Mill ES,2,0,0,2
Radloff MS,0,0,0,0
Richards MS,27,1,0,28
Riverside ES,4,0,0,4
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,1,1
Rosebud ES,12,0,1,13
Shiloh ES,8,0,0,8
Shiloh HS,0,3,0,3
Shiloh MS,1,1,1,3
Simonton ES,4,0,0,4
Simpson ES,0,0,0,0
Snellville MS,1,0,0,1
South Gwinnett HS,5,2,1,8
Starling ES,1,1,0,2
Stripling ES,2,0,1,3
Sugar Hill ES,1,0,0,1
Summerour MS,1,0,0,1
Suwanee ES,0,0,0,0
Sweetwater MS,1,0,1,2
Sycamore ES,13,0,0,13
Taylor ES,1,0,0,1
Trickum MS,4,1,0,5
Trip ES,30,1,0,31
Twin Rivers MS,2,2,0,4
Walnut Grove ES,1,0,0,1
White Oak ES,1,0,2,3
Winn Holt ES,1,0,0,1
Woodward Mill ES,0,0,0,0
