School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,13,5,4,22
Alford ES,32,0,2,34
Anderson-Livsey ES,1,0,0,1
Annistown ES,15,2,0,17
Arcado ES,5,0,0,5
Archer HS,42,15,6,63
Baggett ES,9,1,0,10
Baldwin ES,5,1,0,6
Bay Creek MS,4,2,1,7
Beaver Ridge ES,20,3,1,24
Benefield ES,24,1,0,25
Berkeley Lake ES,6,1,0,7
Berkmar HS,3,2,1,6
Berkmar MS,10,1,2,13
Bethesda ES,9,1,1,11
Britt ES,5,0,0,5
Brookwood ES,5,1,0,6
Brookwood HS,18,9,4,31
Buice Center,3,1,3,7
Burnette ES,12,2,1,15
Camp Creek ES,14,1,2,17
Cedar Hill ES,10,4,0,14
Centerville ES,6,1,4,11
Central Gwinnett HS,11,1,0,12
Chattahoochee ES,21,7,3,31
Chesney ES,5,3,0,8
Coleman MS,13,3,2,18
Collins Hill HS,11,6,1,18
Cooper ES,15,1,0,16
Corley ES,5,0,3,8
Couch MS,4,1,0,5
Craig ES,12,0,0,12
Creekland MS,14,5,1,20
Crews MS,7,1,0,8
Dacula ES,7,2,5,14
Dacula HS,7,5,3,15
Dacula MS,16,4,1,21
Discovery HS,5,3,1,9
Duluth HS,35,4,5,44
Duluth MS,10,0,1,11
Duncan Creek ES,20,2,2,24
Dyer ES,10,1,4,15
Ferguson ES,30,4,0,34
Five Forks MS,54,8,1,63
Fort Daniel ES,12,2,0,14
Freeman's Mill ES,12,3,0,15
GIVE East,0,0,0,0
GIVE West,0,0,1,1
Grace Snell MS,1,1,1,3
Graves ES,7,0,1,8
Grayson ES,8,4,6,18
Grayson HS,9,9,3,21
Gwin Oaks ES,10,4,0,14
Gwinnett Online Campus,2,0,1,3
"Gwinnett School of Mathematics, Science, and Technology",0,1,3,4
Harbins ES,12,1,1,14
Harmony ES,2,2,0,4
Harris ES,18,3,0,21
Head ES,3,1,0,4
Hopkins ES,11,3,2,16
Hull MS,1,3,3,7
International Transition Center,7,0,1,8
Ivy Creek ES,13,4,1,18
Jackson ES,44,7,0,51
Jenkins ES,2,3,3,8
Jones MS,8,4,1,13
Jordan MS,2,1,2,5
Kanoheda ES,6,2,1,9
Knight ES,17,5,1,23
Lanier HS,13,7,4,24
Lanier MS,11,2,1,14
Lawrenceville ES,3,4,0,7
Level Creek ES,13,4,1,18
Lilburn ES,0,1,1,2
Lilburn MS,3,2,2,7
Lovin ES,6,2,1,9
Magill ES,10,3,1,14
Mason ES,8,4,0,12
Maxwell,0,0,0,0
McClure Health Science HS,4,1,3,8
McConnell MS,17,4,1,22
McKendree ES,8,5,2,15
Meadowcreek ES,3,2,0,5
Meadowcreek HS,11,1,2,14
Mill Creek HS,22,10,2,34
Minor ES,4,2,1,7
Moore MS,2,5,3,10
Mountain Park ES,12,3,0,15
Mountain View HS,11,8,3,22
Mulberry ES,12,2,1,15
Nesbit ES,3,0,3,6
Norcross ES,2,1,0,3
Norcross HS,35,7,2,44
North Gwinnett HS,8,6,2,16
North Gwinnett MS,20,4,3,27
Northbrook MS,29,3,3,35
Norton ES,13,2,0,15
Oakland Meadow School,1,0,1,2
Osborne MS,20,6,1,27
Parkview HS,23,5,5,33
Parsons ES,6,1,3,10
Partee ES,2,1,0,3
Patrick ES,4,1,0,5
Paul Duke STEM HS,1,5,0,6
Peachtree ES,8,4,2,14
Peachtree Ridge HS,5,8,0,13
Pharr ES,8,0,0,8
Phoenix HS,3,1,0,4
Pinckneyville MS,8,2,6,16
Puckett's Mill ES,5,2,2,9
Radloff MS,2,3,2,7
Richards MS,27,4,6,37
Riverside ES,10,1,0,11
Roberts ES,48,3,0,51
Rock Springs ES,18,4,0,22
Rockbridge ES,12,0,2,14
Rosebud ES,9,2,4,15
Shiloh ES,6,2,0,8
Shiloh HS,7,4,5,16
Shiloh MS,5,1,1,7
Simonton ES,35,8,1,44
Simpson ES,4,1,0,5
Snellville MS,1,1,1,3
South Gwinnett HS,31,7,0,38
Starling ES,8,1,2,11
Stripling ES,1,2,3,6
Sugar Hill ES,13,6,1,20
Summerour MS,1,0,2,3
Suwanee ES,6,4,0,10
Sweetwater MS,7,8,2,17
Sycamore ES,15,7,4,26
Taylor ES,8,3,0,11
Trickum MS,28,4,0,32
Trip ES,18,2,3,23
Twin Rivers MS,15,4,0,19
Walnut Grove ES,19,2,0,21
White Oak ES,16,1,2,19
Winn Holt ES,15,1,4,20
Woodward Mill ES,2,1,0,3
