School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,19,1,0,20
Alford ES,10,1,0,11
Anderson-Livsey ES,1,1,0,2
Annistown ES,21,1,0,22
Arcado ES,73,0,3,76
Archer HS,86,3,15,104
Baggett ES,5,1,0,6
Baldwin ES,0,0,1,1
Bay Creek MS,11,1,5,17
Beaver Ridge ES,4,1,1,6
Benefield ES,14,2,1,17
Berkeley Lake ES,14,1,1,16
Berkmar HS,19,2,2,23
Berkmar MS,15,3,1,19
Bethesda ES,6,0,1,7
Britt ES,2,1,0,3
Brookwood ES,17,1,0,18
Brookwood HS,49,7,1,57
Buice Center,8,1,0,9
Burnette ES,17,1,4,22
Camp Creek ES,30,1,0,31
Cedar Hill ES,23,3,0,26
Centerville ES,2,0,0,2
Central Gwinnett HS,18,2,2,22
Chattahoochee ES,18,1,2,21
Chesney ES,15,0,2,17
Coleman MS,1,0,0,1
Collins Hill HS,30,5,3,38
Cooper ES,34,0,3,37
Corley ES,1,1,0,2
Couch MS,8,3,0,11
Craig ES,8,0,2,10
Creekland MS,17,1,1,19
Crews MS,8,1,0,9
Dacula ES,17,3,9,29
Dacula HS,22,2,9,33
Dacula MS,30,6,2,38
Discovery HS,16,4,0,20
Duluth HS,16,3,6,25
Duluth MS,34,0,12,46
Duncan Creek ES,28,1,0,29
Dyer ES,33,2,6,41
Ferguson ES,23,0,4,27
Five Forks MS,53,5,0,58
Fort Daniel ES,10,1,0,11
Freeman's Mill ES,20,0,3,23
GIVE East,0,0,0,0
GIVE West,4,0,0,4
Grace Snell MS,0,2,1,3
Graves ES,7,2,3,12
Grayson ES,7,1,0,8
Grayson HS,22,7,1,30
Gwin Oaks ES,10,2,0,12
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",3,0,0,3
Harbins ES,44,3,5,52
Harmony ES,5,0,3,8
Harris ES,19,0,0,19
Head ES,8,1,1,10
Hopkins ES,37,0,2,39
Hull MS,5,3,0,8
International Transition Center,1,1,0,2
Ivy Creek ES,13,3,2,18
Jackson ES,12,3,0,15
Jenkins ES,12,0,0,12
Jones MS,24,2,0,26
Jordan MS,7,0,3,10
Kanoheda ES,2,0,0,2
Knight ES,16,1,10,27
Lanier HS,36,4,10,50
Lanier MS,9,0,0,9
Lawrenceville ES,4,0,0,4
Level Creek ES,3,0,0,3
Lilburn ES,8,1,2,11
Lilburn MS,5,0,1,6
Lovin ES,13,2,0,15
Magill ES,22,1,0,23
Mason ES,16,3,0,19
Maxwell,12,0,3,15
McClure Health Science HS,3,0,1,4
McConnell MS,14,2,0,16
McKendree ES,57,2,0,59
Meadowcreek ES,4,1,3,8
Meadowcreek HS,30,2,11,43
Mill Creek HS,53,2,0,55
Minor ES,3,0,0,3
Moore MS,1,0,1,2
Mountain Park ES,5,0,0,5
Mountain View HS,38,0,7,45
Mulberry ES,4,1,0,5
Nesbit ES,1,0,0,1
Norcross ES,1,0,0,1
Norcross HS,43,8,3,54
North Gwinnett HS,79,3,9,91
North Gwinnett MS,48,6,3,57
Northbrook MS,4,0,2,6
Norton ES,10,0,3,13
Oakland Meadow School,8,1,1,10
Osborne MS,19,2,1,22
Parkview HS,32,4,4,40
Parsons ES,7,2,0,9
Partee ES,8,2,0,10
Patrick ES,9,0,0,9
Paul Duke STEM HS,12,2,1,15
Peachtree ES,9,0,3,12
Peachtree Ridge HS,25,5,1,31
Pharr ES,14,1,2,17
Phoenix HS,1,0,0,1
Pinckneyville MS,19,2,1,22
Puckett's Mill ES,30,0,5,35
Radloff MS,4,1,2,7
Richards MS,18,2,5,25
Riverside ES,15,1,0,16
Roberts ES,2,0,0,2
Rock Springs ES,8,2,1,11
Rockbridge ES,19,0,2,21
Rosebud ES,2,2,0,4
Shiloh ES,38,0,2,40
Shiloh HS,9,2,2,13
Shiloh MS,25,3,0,28
Simonton ES,17,1,0,18
Simpson ES,6,1,0,7
Snellville MS,47,4,1,52
South Gwinnett HS,41,3,5,49
Starling ES,11,0,0,11
Stripling ES,3,0,0,3
Sugar Hill ES,27,0,2,29
Summerour MS,6,3,0,9
Suwanee ES,8,0,1,9
Sweetwater MS,7,2,0,9
Sycamore ES,5,0,0,5
Taylor ES,16,1,0,17
Trickum MS,12,1,0,13
Trip ES,18,0,0,18
Twin Rivers MS,34,4,0,38
Walnut Grove ES,16,2,0,18
White Oak ES,6,0,4,10
Winn Holt ES,11,1,3,15
Woodward Mill ES,4,1,0,5
