School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,5,0,0,5
Alford ES,1,0,0,1
Arcado ES,13,0,1,14
Archer HS,20,6,6,32
Bay Creek MS,2,0,1,3
Beaver Ridge ES,1,0,0,1
Benefield ES,7,0,0,7
Berkeley Lake ES,2,0,0,2
Berkmar HS,0,1,0,1
Bethesda ES,3,0,1,4
Britt ES,1,2,0,3
Brookwood ES,3,0,0,3
Brookwood HS,9,3,0,12
Buice Center,3,0,0,3
Burnette ES,1,0,0,1
Camp Creek ES,22,1,0,23
Cedar Hill ES,1,0,0,1
Centerville ES,4,0,0,4
Central Gwinnett HS,5,1,0,6
Chesney ES,2,0,1,3
Collins Hill HS,5,4,0,9
Cooper ES,16,1,0,17
Couch MS,3,1,0,4
Craig ES,4,0,1,5
Crews MS,0,1,0,1
Dacula ES,0,0,1,1
Dacula HS,3,3,3,9
Dacula MS,4,0,0,4
Discovery HS,1,2,0,3
Duluth HS,7,2,3,12
Duncan Creek ES,9,0,0,9
Dyer ES,10,1,1,12
Ferguson ES,0,1,0,1
Five Forks MS,3,0,0,3
Fort Daniel ES,2,1,0,3
Freeman's Mill ES,3,0,0,3
GIVE West,3,0,0,3
Graves ES,1,0,0,1
Grayson ES,2,0,0,2
Grayson HS,5,1,0,6
Gwinnett Online Campus,1,0,0,1
Harbins ES,22,1,3,26
Harris ES,4,0,0,4
Head ES,8,1,0,9
Hopkins ES,1,0,0,1
Hull MS,2,2,0,4
International Transition Center,0,1,0,1
Ivy Creek ES,7,1,1,9
Jackson ES,1,0,0,1
Jenkins ES,4,1,0,5
Jones MS,3,0,0,3
Jordan MS,1,0,0,1
Kanoheda ES,2,0,0,2
Knight ES,0,0,2,2
Lanier HS,20,7,3,30
Lanier MS,3,2,1,6
Magill ES,3,0,0,3
Maxwell HS of Technology,0,1,0,1
McClure Health Science HS,1,0,1,2
McConnell MS,5,0,0,5
McKendree ES,0,1,0,1
Meadowcreek HS,1,0,3,4
Mill Creek HS,20,8,0,28
Moore MS,0,1,0,1
Mountain Park ES,4,0,0,4
Mountain View HS,14,2,3,19
Mulberry ES,4,0,0,4
Nesbit ES,1,0,0,1
Norcross ES,14,1,0,15
Norcross HS,11,1,0,12
North Gwinnett HS,10,3,3,16
North Gwinnett MS,12,1,2,15
Northbrook MS,0,2,0,2
Norton ES,4,0,0,4
Oakland Meadow School,1,0,0,1
Osborne MS,11,1,0,12
Parkview HS,5,3,0,8
Parsons ES,3,0,0,3
Patrick ES,3,0,1,4
Peachtree ES,0,1,2,3
Phoenix HS,1,0,0,1
Pinckneyville MS,1,1,0,2
Puckett's Mill ES,8,0,0,8
Radloff MS,5,0,2,7
Richards MS,4,0,0,4
Riverside ES,6,0,0,6
Roberts ES,3,1,0,4
Rockbridge ES,1,0,0,1
Shiloh HS,2,3,0,5
Shiloh MS,0,1,0,1
Simonton ES,2,0,0,2
Simpson ES,10,4,0,14
Snellville MS,1,0,0,1
South Gwinnett HS,3,1,2,6
Starling ES,6,0,0,6
Stripling ES,0,1,0,1
Sugar Hill ES,7,0,0,7
Summerour MS,0,2,0,2
Suwanee ES,2,0,1,3
Sycamore ES,5,0,0,5
Taylor ES,0,1,0,1
Trickum MS,4,0,0,4
Walnut Grove ES,2,1,0,3
White Oak ES,3,0,3,6
Winn Holt ES,7,1,3,11
Woodward Mill ES,4,0,0,4
