School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,0,0,2
Arcado ES,2,0,0,2
Archer HS,22,1,2,25
Baggett ES,3,1,0,4
Baldwin ES,1,0,0,1
Beaver Ridge ES,1,1,0,2
Berkmar HS,14,2,0,16
Berkmar MS,8,3,1,12
Brookwood HS,12,7,2,21
Camp Creek ES,7,0,0,7
Cedar Hill ES,1,0,0,1
Centerville ES,7,1,0,8
Central Gwinnett HS,6,3,0,9
Chattahoochee ES,3,0,0,3
Chesney ES,1,0,0,1
Collins Hill HS,3,2,0,5
Cooper ES,1,0,0,1
Couch MS,4,0,0,4
Creekland MS,2,0,1,3
Dacula HS,1,0,1,2
Dacula MS,3,1,0,4
Discovery HS,3,1,0,4
Duluth HS,0,0,2,2
Duncan Creek ES,7,0,1,8
Dyer ES,3,0,0,3
Ferguson ES,9,2,0,11
Five Forks MS,0,1,1,2
Fort Daniel ES,1,2,0,3
Freeman's Mill ES,2,0,1,3
Grayson ES,4,2,0,6
Grayson HS,3,3,0,6
Gwin Oaks ES,1,0,0,1
Gwinnett Online Campus,0,1,0,1
Harbins ES,0,1,1,2
Harris ES,1,0,0,1
Hull MS,0,0,1,1
International Transition Center,1,0,0,1
Jackson ES,1,0,0,1
Jones MS,0,1,0,1
Knight ES,1,1,1,3
Lanier HS,9,1,1,11
Lanier MS,42,2,2,46
Lawrenceville ES,3,0,0,3
Lovin ES,2,0,0,2
Mason ES,0,0,1,1
McClure Health Science HS,1,0,1,2
McKendree ES,4,0,0,4
Meadowcreek HS,8,0,0,8
Mill Creek HS,5,2,0,7
Minor ES,0,2,1,3
Mountain View HS,6,0,0,6
Mulberry ES,8,0,0,8
Nesbit ES,0,2,0,2
Norcross HS,18,4,2,24
North Gwinnett HS,11,2,4,17
North Gwinnett MS,2,2,0,4
Northbrook MS,0,1,0,1
Osborne MS,2,0,0,2
Parkview HS,1,1,1,3
Parsons ES,1,0,1,2
Patrick ES,5,2,1,8
Peachtree ES,1,1,0,2
Peachtree Ridge HS,3,1,0,4
Pharr ES,1,0,0,1
Pinckneyville MS,5,1,0,6
Puckett's Mill ES,2,0,0,2
Radloff MS,5,1,0,6
Richards MS,0,0,2,2
Roberts ES,0,3,0,3
Rockbridge ES,2,1,0,3
Shiloh HS,2,1,0,3
Simonton ES,0,1,0,1
Simpson ES,26,2,0,28
Snellville MS,2,1,0,3
South Gwinnett HS,2,0,1,3
Starling ES,1,0,0,1
Stripling ES,2,0,0,2
Sugar Hill ES,2,1,2,5
Summerour MS,0,1,0,1
Sweetwater MS,2,0,0,2
Taylor ES,7,0,0,7
Trickum MS,2,1,0,3
Trip ES,1,1,0,2
Twin Rivers MS,6,2,1,9
White Oak ES,1,0,2,3
Winn Holt ES,2,1,2,5
