School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,0,0,2
Alford ES,1,1,0,2
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,0,0,0,0
Archer HS,1,0,0,1
Baggett ES,0,0,0,0
Baldwin ES,0,0,0,0
Bay Creek MS,1,1,0,2
Beaver Ridge ES,2,0,0,2
Benefield ES,0,0,0,0
Berkeley Lake ES,2,0,0,2
Berkmar HS,0,0,0,0
Berkmar MS,2,0,0,2
Bethesda ES,0,0,0,0
Britt ES,2,0,0,2
Brookwood ES,4,0,0,4
Brookwood HS,1,1,0,2
Buice Center,0,0,0,0
Burnette ES,5,1,0,6
Camp Creek ES,0,0,0,0
Cedar Hill ES,5,1,0,6
Centerville ES,0,0,0,0
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,5,0,0,5
Chesney ES,0,2,0,2
Coleman MS,0,1,0,1
Collins Hill HS,0,1,0,1
Cooper ES,0,0,0,0
Corley ES,3,0,0,3
Couch MS,0,0,0,0
Craig ES,2,1,0,3
Creekland MS,0,0,0,0
Crews MS,2,4,0,6
Dacula ES,3,0,0,3
Dacula HS,2,2,0,4
Dacula MS,3,1,0,4
Discovery HS,2,1,1,4
Duluth HS,1,0,2,3
Duluth MS,0,0,0,0
Duncan Creek ES,3,1,0,4
Dyer ES,1,2,0,3
Ferguson ES,1,0,0,1
Five Forks MS,0,0,0,0
Fort Daniel ES,1,1,0,2
Freeman's Mill ES,0,0,0,0
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,0,0,0,0
Graves ES,0,0,0,0
Grayson ES,2,0,1,3
Grayson HS,4,1,0,5
Gwin Oaks ES,4,0,0,4
Gwinnett Online Campus,0,1,0,1
"Gwinnett School of Mathematics, Science, and Technology",0,1,0,1
Harbins ES,0,0,0,0
Harmony ES,1,0,0,1
Harris ES,0,0,0,0
Head ES,0,0,2,2
Hopkins ES,0,1,0,1
Hull MS,0,1,0,1
International Transition Center,0,0,0,0
Ivy Creek ES,2,0,0,2
Jackson ES,3,0,0,3
Jenkins ES,0,0,0,0
Jones MS,1,0,0,1
Jordan MS,0,0,0,0
Kanoheda ES,1,1,0,2
Knight ES,1,1,0,2
Lanier HS,11,1,1,13
Lanier MS,2,0,0,2
Lawrenceville ES,0,0,0,0
Level Creek ES,0,0,0,0
Lilburn ES,1,0,0,1
Lilburn MS,0,0,0,0
Lovin ES,1,0,1,2
Magill ES,1,0,0,1
Mason ES,0,0,0,0
Maxwell,0,0,0,0
McClure Health Science HS,0,0,2,2
McConnell MS,5,1,0,6
McKendree ES,2,0,0,2
Meadowcreek ES,1,0,0,1
Meadowcreek HS,1,1,1,3
Mill Creek HS,5,2,0,7
Minor ES,0,0,0,0
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,2,1,0,3
Mulberry ES,0,0,0,0
Nesbit ES,0,0,0,0
Norcross ES,0,0,0,0
Norcross HS,1,1,0,2
North Gwinnett HS,0,0,0,0
North Gwinnett MS,0,1,1,2
Northbrook MS,0,1,0,1
Norton ES,0,0,0,0
Oakland Meadow School,0,0,0,0
Osborne MS,9,3,0,12
Parkview HS,4,2,2,8
Parsons ES,0,0,0,0
Partee ES,0,0,0,0
Patrick ES,0,0,0,0
Paul Duke STEM HS,0,0,0,0
Peachtree ES,1,0,0,1
Peachtree Ridge HS,1,1,0,2
Pharr ES,0,1,0,1
Phoenix HS,0,0,0,0
Pinckneyville MS,0,0,0,0
Puckett's Mill ES,0,1,0,1
Radloff MS,0,0,0,0
Richards MS,0,2,0,2
Riverside ES,1,0,0,1
Roberts ES,0,0,0,0
Rock Springs ES,0,0,0,0
Rockbridge ES,1,0,0,1
Rosebud ES,1,0,0,1
Shiloh ES,6,0,0,6
Shiloh HS,0,0,0,0
Shiloh MS,0,0,0,0
Simonton ES,3,4,0,7
Simpson ES,3,0,0,3
Snellville MS,2,0,0,2
South Gwinnett HS,1,0,0,1
Starling ES,1,0,0,1
Stripling ES,0,0,1,1
Sugar Hill ES,2,1,0,3
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,1,0,1,2
Sycamore ES,0,0,0,0
Taylor ES,1,0,0,1
Trickum MS,0,0,0,0
Trip ES,1,1,0,2
Twin Rivers MS,2,0,0,2
Walnut Grove ES,0,0,0,0
White Oak ES,0,0,0,0
Winn Holt ES,3,0,0,3
Woodward Mill ES,0,0,0,0
