School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,11,5,4,20
Alford ES,20,0,1,21
Anderson-Livsey ES,1,0,0,1
Annistown ES,7,1,0,8
Arcado ES,7,0,0,7
Archer HS,37,9,8,54
Baggett ES,9,1,0,10
Baldwin ES,6,1,0,7
Bay Creek MS,4,1,1,6
Beaver Ridge ES,4,4,1,9
Benefield ES,16,1,0,17
Berkeley Lake ES,6,0,0,6
Berkmar HS,15,4,0,19
Berkmar MS,13,1,3,17
Bethesda ES,6,1,1,8
Britt ES,5,0,0,5
Brookwood ES,5,1,0,6
Brookwood HS,18,15,6,39
Buice Center,3,1,2,6
Burnette ES,6,0,0,6
Camp Creek ES,17,1,1,19
Cedar Hill ES,11,4,0,15
Centerville ES,13,2,4,19
Central Gwinnett HS,16,4,0,20
Chattahoochee ES,22,6,3,31
Chesney ES,5,3,0,8
Coleman MS,13,3,2,18
Collins Hill HS,14,7,0,21
Cooper ES,16,1,0,17
Corley ES,2,0,2,4
Couch MS,8,0,0,8
Craig ES,8,0,0,8
Creekland MS,14,4,2,20
Crews MS,6,0,0,6
Dacula ES,6,1,5,12
Dacula HS,8,5,2,15
Dacula MS,17,5,1,23
Discovery HS,8,3,1,12
Duluth HS,21,3,6,30
Duluth MS,6,0,0,6
Duncan Creek ES,25,2,3,30
Dyer ES,13,0,3,16
Ferguson ES,33,6,0,39
Five Forks MS,2,7,1,10
Fort Daniel ES,11,3,0,14
Freeman's Mill ES,12,1,1,14
GIVE East,0,0,0,0
GIVE West,0,0,1,1
Grace Snell MS,1,1,1,3
Graves ES,7,0,1,8
Grayson ES,8,6,6,20
Grayson HS,12,10,3,25
Gwin Oaks ES,9,2,0,11
Gwinnett Online Campus,2,1,1,4
"Gwinnett School of Mathematics, Science, and Technology",0,1,3,4
Harbins ES,7,2,2,11
Harmony ES,2,2,0,4
Harris ES,15,3,0,18
Head ES,3,1,0,4
Hopkins ES,11,3,2,16
Hull MS,1,2,4,7
International Transition Center,4,0,0,4
Ivy Creek ES,13,2,1,16
Jackson ES,26,4,0,30
Jenkins ES,1,2,3,6
Jones MS,8,5,1,14
Jordan MS,2,1,1,4
Kanoheda ES,6,2,1,9
Knight ES,18,6,2,26
Lanier HS,20,8,5,33
Lanier MS,33,3,3,39
Lawrenceville ES,6,4,0,10
Level Creek ES,13,4,1,18
Lilburn ES,0,1,1,2
Lilburn MS,3,0,2,5
Lovin ES,8,2,1,11
Magill ES,10,3,1,14
Mason ES,8,4,1,13
Maxwell,0,0,0,0
McClure Health Science HS,5,1,4,10
McConnell MS,17,4,1,22
McKendree ES,12,3,0,15
Meadowcreek ES,2,1,0,3
Meadowcreek HS,19,1,2,22
Mill Creek HS,26,11,2,39
Minor ES,4,3,1,8
Moore MS,1,3,3,7
Mountain Park ES,1,3,0,4
Mountain View HS,15,5,3,23
Mulberry ES,19,2,1,22
Nesbit ES,3,2,3,8
Norcross ES,2,1,0,3
Norcross HS,50,10,4,64
North Gwinnett HS,18,6,6,30
North Gwinnett MS,21,6,3,30
Northbrook MS,11,3,3,17
Norton ES,13,0,0,13
Oakland Meadow School,1,0,1,2
Osborne MS,18,5,1,24
Parkview HS,24,5,6,35
Parsons ES,6,1,4,11
Partee ES,1,1,0,2
Patrick ES,9,2,1,12
Paul Duke STEM HS,0,4,0,4
Peachtree ES,9,5,2,16
Peachtree Ridge HS,5,3,0,8
Pharr ES,7,0,0,7
Phoenix HS,3,1,0,4
Pinckneyville MS,11,1,6,18
Puckett's Mill ES,6,2,2,10
Radloff MS,7,3,2,12
Richards MS,18,1,6,25
Riverside ES,8,1,0,9
Roberts ES,9,4,0,13
Rock Springs ES,9,0,0,9
Rockbridge ES,13,1,2,16
Rosebud ES,5,0,1,6
Shiloh ES,6,2,0,8
Shiloh HS,8,3,5,16
Shiloh MS,5,1,1,7
Simonton ES,6,6,1,13
Simpson ES,29,3,0,32
Snellville MS,3,2,1,6
South Gwinnett HS,32,7,1,40
Starling ES,9,0,2,11
Stripling ES,2,2,3,7
Sugar Hill ES,15,7,3,25
Summerour MS,1,0,1,2
Suwanee ES,6,4,0,10
Sweetwater MS,8,6,2,16
Sycamore ES,11,6,3,20
Taylor ES,13,3,0,16
Trickum MS,12,4,0,16
Trip ES,15,3,3,21
Twin Rivers MS,19,5,0,24
Walnut Grove ES,18,2,0,20
White Oak ES,13,1,4,18
Winn Holt ES,15,1,6,22
Woodward Mill ES,2,1,0,3
