School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,1,0,0,1
Alford ES,0,0,0,0
Anderson-Livsey ES,0,1,0,1
Annistown ES,3,1,0,4
Arcado ES,21,1,0,22
Archer HS,48,6,10,64
Baggett ES,16,1,6,23
Baldwin ES,0,1,1,2
Bay Creek MS,25,2,1,28
Beaver Ridge ES,2,0,0,2
Benefield ES,11,1,3,15
Berkeley Lake ES,1,0,0,1
Berkmar HS,1,0,0,1
Berkmar MS,8,1,4,13
Bethesda ES,29,2,1,32
Britt ES,5,0,0,5
Brookwood ES,16,1,0,17
Brookwood HS,7,2,0,9
Buice Center,11,10,2,23
Burnette ES,2,0,3,5
Camp Creek ES,40,0,2,42
Cedar Hill ES,31,1,2,34
Centerville ES,0,0,0,0
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,2,0,1,3
Chesney ES,1,0,0,1
Jenkins ES,4,2,0,6
Jones MS,6,0,0,6
Jordan MS,1,1,1,3
Kanoheda ES,0,0,0,0
Knight ES,5,0,0,5
Lanier HS,7,1,5,13
Lanier MS,8,1,2,11
Lawrenceville ES,3,1,0,4
Level Creek ES,1,0,0,1
Lilburn ES,0,0,0,0
Lilburn MS,1,0,9,10
Lovin ES,6,2,0,8
Magill ES,18,0,1,19
Mason ES,2,1,4,7
Maxwell,1,0,0,1
McClure Health Science HS,1,0,2,3
McConnell MS,49,7,1,57
McKendree ES,1,0,0,1
Meadowcreek ES,1,5,2,8
Meadowcreek HS,12,2,5,19
Mill Creek HS,87,4,2,93
Minor ES,20,1,1,22
Moore MS,3,0,1,4
Mountain Park ES,0,0,0,0
Mountain View HS,48,1,4,53
Mulberry ES,3,0,2,5
Nesbit ES,4,2,1,7
Norcross ES,3,1,2,6
Norcross HS,37,4,0,41
North Gwinnett HS,1,0,0,1
North Gwinnett MS,26,3,1,30
Northbrook MS,17,0,2,19
Norton ES,0,0,0,0
Oakland Meadow School,1,0,0,1
Osborne MS,26,1,1,28
Parkview HS,15,5,10,30
Parsons ES,1,1,0,2
Partee ES,2,0,0,2
Patrick ES,1,0,0,1
Paul Duke STEM HS,0,0,0,0
Peachtree ES,26,0,5,31
Peachtree Ridge HS,2,2,2,6
Pharr ES,5,0,2,7
Phoenix HS,1,0,0,1
Pinckneyville MS,9,0,2,11
Puckett's Mill ES,31,2,3,36
Radloff MS,1,1,0,2
Richards MS,17,3,9,29
Riverside ES,0,0,0,0
Roberts ES,3,0,0,3
Rock Springs ES,1,0,0,1
Rockbridge ES,2,0,1,3
Rosebud ES,3,0,0,3
Shiloh ES,0,1,0,1
Shiloh HS,2,1,0,3
Shiloh MS,10,1,3,14
Simonton ES,52,3,1,56
Simpson ES,2,1,0,3
Snellville MS,0,0,0,0
South Gwinnett HS,32,0,2,34
Starling ES,6,1,3,10
Stripling ES,0,0,1,1
Sugar Hill ES,4,0,0,4
Summerour MS,2,0,0,2
Suwanee ES,0,0,0,0
Sweetwater MS,2,1,2,5
Sycamore ES,7,0,1,8
Taylor ES,15,5,0,20
Trickum MS,11,1,0,12
Trip ES,58,3,2,63
Twin Rivers MS,66,3,2,71
Walnut Grove ES,15,0,0,15
White Oak ES,6,1,1,8
Winn Holt ES,7,0,1,8
Woodward Mill ES,14,3,1,18
