School,Close Contact,Positive Case,Suspected Case,Total
Archer HS,,1,1,1
Baggett ES,1,,1,1
Berkmar HS,,1,1,1
Buice Center,,1,1,1
Camp Creek ES,,2,2,2
Collins Hill HS,,1,1,1
Crews MS,1,1,,1
Dacula ES,1,,,1
Duluth HS,3,2,2,5
Duncan Creek ES,2,,,2
Grayson ES,1,1,,2
Grayson HS,,3,3,3
Knight ES,,1,1,1
Meadowcreek HS,1,1,1,2
Mill Creek HS,1,,,1
Norcross HS,,1,1,1
North Gwinnett MS,,1,1,1
Parkview HS,5,2,2,7
Peachtree Ridge HS,1,1,,1
Richards MS,,1,1,1
Rock Springs ES,,1,1,1
Sweetwater MS,,1,1,1
Harbins ES,,1,1,1
Kanoheda ES,2,,,2
