School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,1,0,1,2
Alford ES,5,6,0,11
Annistown ES,1,1,0,2
Arcado ES,2,4,0,6
Archer HS,15,0,4,19
Baggett ES,15,1,2,18
Baldwin ES,1,1,1,3
Bay Creek MS,2,0,0,2
Beaver Ridge ES,0,1,0,1
Benefield ES,8,4,0,12
Berkmar HS,19,6,2,27
Berkmar MS,13,0,0,13
Bethesda ES,7,0,0,7
Brookwood ES,17,2,1,20
Brookwood HS,10,3,0,13
Buice Center,1,1,0,2
Burnette ES,2,0,0,2
Camp Creek ES,1,0,0,1
Cedar Hill ES,2,1,2,5
Central Gwinnett HS,1,2,0,3
Chattahoochee ES,6,1,2,9
Chesney ES,4,3,0,7
Coleman MS,3,0,0,3
Collins Hill HS,1,0,0,1
Cooper ES,3,0,1,4
Corley ES,12,2,0,14
Couch MS,0,2,0,2
Craig ES,8,0,0,8
Creekland MS,3,2,1,6
Crews MS,10,2,0,12
Dacula ES,2,0,0,2
Dacula HS,4,6,0,10
Dacula MS,5,2,0,7
Discovery HS,4,2,1,7
Duluth HS,2,3,0,5
Duluth MS,6,4,3,13
Duncan Creek ES,10,3,0,13
Dyer ES,3,0,2,5
Five Forks MS,2,1,0,3
Fort Daniel ES,1,0,0,1
GIVE East,1,0,0,1
GIVE West,2,0,0,2
Graves ES,2,0,0,2
Grayson ES,9,1,0,10
Grayson HS,9,3,0,12
Gwin Oaks ES,10,1,1,12
Gwinnett Online Campus,2,0,0,2
"Gwinnett School of Mathematics, Science, and Technology",3,1,2,6
Harbins ES,6,1,0,7
Harmony ES,4,1,0,5
Harris ES,1,2,0,3
Head ES,2,1,1,4
Hopkins ES,1,1,2,4
Hull MS,3,4,0,7
Ivy Creek ES,4,1,1,6
Jackson ES,11,5,0,16
Jenkins ES,2,0,1,3
Jones MS,10,1,0,11
Jordan MS,2,2,0,4
Knight ES,4,1,1,6
Lanier HS,13,0,2,15
Lanier MS,3,3,0,6
Level Creek ES,5,0,0,5
Lilburn ES,8,3,0,11
Lilburn MS,2,0,2,4
Lovin ES,3,1,1,5
Magill ES,6,3,0,9
Mason ES,6,2,0,8
Maxwell,0,1,0,1
McClure Health Science HS,0,1,0,1
McConnell MS,16,1,0,17
McKendree ES,3,1,0,4
Meadowcreek ES,1,0,0,1
Meadowcreek HS,2,4,0,6
Mill Creek HS,15,1,2,18
Minor ES,5,0,1,6
Moore MS,8,0,0,8
Mountain View HS,16,3,1,20
Mulberry ES,12,11,0,23
Nesbit ES,5,0,1,6
Norcross ES,5,1,1,7
Norcross HS,20,5,0,25
North Gwinnett HS,20,7,0,27
North Gwinnett MS,11,4,1,16
Northbrook MS,7,1,3,11
Norton ES,4,0,0,4
Oakland Meadow School,1,0,1,2
Osborne MS,6,2,0,8
Parkview HS,3,0,2,5
Parsons ES,0,0,1,1
Partee ES,9,1,0,10
Patrick ES,6,0,0,6
Paul Duke STEM HS,2,0,0,2
Peachtree ES,1,0,0,1
Pharr ES,1,2,0,3
Phoenix HS,2,0,0,2
Pinckneyville MS,7,1,1,9
Puckett's Mill ES,8,1,3,12
Radloff MS,3,1,0,4
Richards MS,11,4,4,19
Rock Springs ES,0,1,0,1
Rosebud ES,2,2,0,4
Shiloh ES,1,0,0,1
Shiloh HS,1,1,1,3
Shiloh MS,0,1,0,1
Simonton ES,1,1,0,2
Snellville MS,0,1,0,1
South Gwinnett HS,2,1,1,4
Stripling ES,2,1,0,3
Suwanee ES,0,1,0,1
Sweetwater MS,0,1,1,2
Sycamore ES,5,2,0,7
Trickum MS,6,1,1,8
Trip ES,4,0,0,4
Twin Rivers MS,28,5,0,33
White Oak ES,2,0,0,2
Winn Holt ES,2,1,0,3
Woodward Mill ES,1,1,0,2
