School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,,1,1,1
Archer HS,1,,1,1
Berkmar HS,1,,1,1
Bethesda ES,1,,1,1
Camp Creek ES,,1,1,1
Cedar Hill ES,1,1,1,2
Dacula MS,1,,1,1
Discovery HS,,1,1,1
Duluth HS,1,1,2,2
Dyer ES,1,,1,1
Freeman's Mill ES,2,,2,2
Grace Snell MS,1,,1,1
Harbins ES,2,,2,2
Kanoheda ES,,1,1,1
Lilburn MS,1,,1,1
Mason ES,,1,1,1
Meadowcreek HS,,1,1,1
Minor ES,1,1,1,2
Nesbit ES,1,,1,1
Norcross HS,,1,1,1
North Gwinnett HS,,1,1,1
North Gwinnett MS,1,,1,1
Osborne MS,,1,1,1
Parkview HS,1,,1,1
Stripling ES,,1,1,1
Summerour MS,,1,1,1
Twin Rivers MS,2,1,1,3
Walnut Grove ES,1,,1,1
Winn Holt ES,,1,1,1
