school,close_contact,positive_case,suspected_case,total,date,cluster
Craig ES,0.0,1.0,0.0,1,3/12/2021,Brookwood
Creekland MS,1.0,0.0,0.0,1,3/12/2021,Collins Hill
Crews MS,0.0,1.0,0.0,1,3/12/2021,Brookwood
Dacula HS,1.0,0.0,0.0,1,3/12/2021,Dacula
Duluth HS,3.0,0.0,0.0,3,3/12/2021,Duluth
Duluth MS,0.0,0.0,2.0,2,3/12/2021,Duluth
Dyer ES,6.0,0.0,1.0,7,3/12/2021,Mountain View
Grayson ES,23.0,0.0,3.0,26,3/12/2021,Grayson
Grayson HS,2.0,1.0,0.0,3,3/12/2021,Grayson
Harmony ES,1.0,0.0,0.0,1,3/12/2021,Mill Creek
Head ES,0.0,0.0,1.0,1,3/12/2021,Brookwood
Ivy Creek ES,2.0,0.0,0.0,2,3/12/2021,Mill Creek
Jordan MS,1.0,0.0,0.0,1,3/12/2021,Central Gwinnett
Knight ES,0.0,1.0,0.0,1,3/12/2021,Parkview
Lawrenceville ES,8.0,3.0,0.0,11,3/12/2021,Central Gwinnett
Mason ES,1.0,0.0,0.0,1,3/12/2021,Peachtree Ridge
McClure Health Science HS,15.0,1.0,0.0,16,3/12/2021,Meadowcreek
Meadowcreek HS,14.0,0.0,1.0,15,3/12/2021,Meadowcreek
Mill Creek HS,1.0,1.0,0.0,2,3/12/2021,Mill Creek
North Gwinnett HS,3.0,1.0,0.0,4,3/12/2021,North Gwinnett
North Gwinnett MS,6.0,0.0,0.0,6,3/12/2021,North Gwinnett
Osborne MS,1.0,0.0,0.0,1,3/12/2021,Mill Creek
Parkview HS,10.0,3.0,0.0,13,3/12/2021,Parkview
Patrick ES,0.0,1.0,0.0,1,3/12/2021,Mountain View
Peachtree Ridge HS,0.0,2.0,0.0,2,3/12/2021,Peachtree Ridge
Richards MS,2.0,0.0,0.0,2,3/12/2021,Discovery
Rosebud ES,12.0,0.0,1.0,13,3/12/2021,South Gwinnett
Shiloh HS,1.0,0.0,0.0,1,3/12/2021,Shiloh
Shiloh MS,1.0,1.0,0.0,2,3/12/2021,Shiloh
South Gwinnett HS,11.0,0.0,0.0,11,3/12/2021,South Gwinnett
Starling ES,2.0,0.0,0.0,2,3/12/2021,Grayson
Sycamore ES,0.0,1.0,0.0,1,3/12/2021,Lanier
Twin Rivers MS,1.0,0.0,0.0,1,3/12/2021,Mountain View
Woodward Mill ES,0.0,1.0,0.0,1,3/12/2021,Mountain View
Alcova ES,1.0,0.0,0.0,1,10/13/2020,Dacula
Archer HS,4.0,0.0,0.0,4,10/13/2020,Archer
Brookwood ES,1.0,0.0,0.0,1,10/13/2020,Brookwood
Brookwood HS,5.0,1.0,0.0,6,10/13/2020,Brookwood
Buice Center,1.0,1.0,0.0,2,10/13/2020,Other
Collins Hill HS,4.0,1.0,0.0,5,10/13/2020,Collins Hill
Cooper ES,5.0,1.0,0.0,6,10/13/2020,Archer
Couch MS,3.0,1.0,0.0,4,10/13/2020,Grayson
Dacula ES,1.0,0.0,0.0,1,10/13/2020,Dacula
Discovery HS,0.0,0.0,1.0,1,10/13/2020,Discovery
Duluth HS,59.0,1.0,1.0,61,10/13/2020,Duluth
Fort Daniel ES,2.0,0.0,0.0,2,10/13/2020,Mill Creek
Grayson HS,9.0,2.0,0.0,11,10/13/2020,Grayson
Harbins ES,3.0,0.0,1.0,4,10/13/2020,Archer
Hull MS,21.0,1.0,1.0,23,10/13/2020,Peachtree Ridge
Jackson ES,14.0,1.0,0.0,15,10/13/2020,Peachtree Ridge
Jones MS,17.0,0.0,0.0,17,10/13/2020,Mill Creek
Kanoheda ES,1.0,0.0,0.0,1,10/13/2020,Berkmar
Knight ES,2.0,0.0,1.0,3,10/13/2020,Parkview
Lanier HS,7.0,1.0,0.0,8,10/13/2020,Lanier
Lanier MS,1.0,0.0,0.0,1,10/13/2020,Lanier
Level Creek ES,2.0,0.0,0.0,2,10/13/2020,North Gwinnett
Lilburn ES,7.0,1.0,0.0,8,10/13/2020,Meadowcreek
Lilburn MS,17.0,0.0,0.0,17,10/13/2020,Meadowcreek
Lovin ES,6.0,1.0,0.0,7,10/13/2020,Archer
Mason ES,1.0,0.0,0.0,1,10/13/2020,Peachtree Ridge
McClure Health Science HS,0.0,0.0,1.0,1,10/13/2020,Meadowcreek
McConnell MS,2.0,0.0,0.0,2,10/13/2020,Archer Cluster
Meadowcreek ES,2.0,0.0,0.0,2,10/13/2020,Meadowcreek
Norcross HS,1.0,0.0,0.0,1,10/13/2020,Norcross
North Gwinnett MS,1.0,0.0,0.0,1,10/13/2020,North Gwinnett
Osborne MS,1.0,0.0,0.0,1,10/13/2020,Mill Creek
Parkview HS,2.0,0.0,1.0,3,10/13/2020,Parkview
Parsons ES,1.0,0.0,0.0,1,10/13/2020,Peachtree Ridge
Peachtree ES,0.0,0.0,1.0,1,10/13/2020,Norcross
Peachtree Ridge HS,0.0,0.0,1.0,1,10/13/2020,Peachtree Ridge
Pharr ES,0.0,1.0,0.0,1,10/13/2020,Grayson
Puckett's Mill ES,1.0,0.0,1.0,2,10/13/2020,Mill Creek
Roberts ES,1.0,0.0,0.0,1,10/13/2020,North Gwinnett
South Gwinnett HS,1.0,0.0,0.0,1,10/13/2020,South Gwinnett
Sugar Hill ES,1.0,0.0,0.0,1,10/13/2020,Lanier
Trickum MS,1.0,0.0,0.0,1,10/13/2020,Parkview
White Oak ES,1.0,0.0,0.0,1,10/13/2020,Lanier
Alcova ES,14.0,0.0,0.0,14,11/13/2020,Dacula
Alford ES,1.0,0.0,0.0,1,11/13/2020,Discovery
Arcado ES,23.0,0.0,1.0,24,11/13/2020,Parkview
Archer HS,28.0,0.0,2.0,30,11/13/2020,Archer
Bay Creek MS,1.0,0.0,0.0,1,11/13/2020,Grayson
Beaver Ridge ES,2.0,0.0,0.0,2,11/13/2020,Norcross
Benefield ES,11.0,1.0,0.0,12,11/13/2020,Discovery
Berkeley Lake ES,1.0,1.0,0.0,2,11/13/2020,Duluth
Britt ES,2.0,1.0,0.0,3,11/13/2020,South Gwinnett
Brookwood ES,26.0,1.0,0.0,27,11/13/2020,Brookwood
Brookwood HS,2.0,0.0,0.0,2,11/13/2020,Brookwood
Cedar Hill ES,12.0,0.0,0.0,12,11/13/2020,Discovery
Collins Hill HS,7.0,0.0,0.0,7,11/13/2020,Collins Hill
Cooper ES,1.0,0.0,0.0,1,11/13/2020,Archer
Dacula HS,0.0,1.0,0.0,1,11/13/2020,Dacula
Duluth MS,1.0,0.0,1.0,2,11/13/2020,Duluth
Dyer ES,5.0,0.0,1.0,6,11/13/2020,Mountain View
Five Forks MS,2.0,0.0,0.0,2,11/13/2020,Brookwood
Fort Daniel ES,1.0,0.0,0.0,1,11/13/2020,Mill Creek
Freeman's Mill ES,1.0,0.0,0.0,1,11/13/2020,Mountain View
GIVE East,0.0,0.0,1.0,1,11/13/2020,Other
GIVE West,1.0,0.0,0.0,1,11/13/2020,Other
Grace Snell MS,3.0,0.0,1.0,4,11/13/2020,South Gwinnett
Graves ES,3.0,0.0,3.0,6,11/13/2020,Meadowcreek
Grayson HS,7.0,1.0,0.0,8,11/13/2020,Grayson
Gwin Oaks ES,0.0,0.0,1.0,1,11/13/2020,Brookwood
Head ES,2.0,0.0,0.0,2,11/13/2020,Brookwood
Ivy Creek ES,0.0,0.0,1.0,1,11/13/2020,Mill Creek
Kanoheda ES,0.0,14.0,0.0,14,11/13/2020,Berkmar
Lilburn ES,5.0,0.0,2.0,7,11/13/2020,Meadowcreek
Lilburn MS,1.0,0.0,0.0,1,11/13/2020,Meadowcreek
Lovin ES,2.0,0.0,0.0,2,11/13/2020,Archer
Maxwell HS of Technology,1.0,0.0,1.0,2,11/13/2020,Other
Meadowcreek ES,0.0,2.0,0.0,2,11/13/2020,Meadowcreek
Meadowcreek HS,5.0,0.0,2.0,7,11/13/2020,Meadowcreek
Mill Creek HS,2.0,0.0,0.0,2,11/13/2020,Mill Creek
Minor ES,2.0,0.0,1.0,3,11/13/2020,Berkmar
Mountain View HS,11.0,0.0,2.0,13,11/13/2020,Mountain View
Norcross HS,2.0,0.0,0.0,2,11/13/2020,Norcross
North Gwinnett HS,15.0,3.0,1.0,19,11/13/2020,North Gwinnett
North Gwinnett MS,2.0,0.0,0.0,2,11/13/2020,North Gwinnett
Osborne MS,1.0,0.0,0.0,1,11/13/2020,Mill Creek
Parkview HS,5.0,1.0,1.0,7,11/13/2020,Parkview
Pharr ES,1.0,0.0,0.0,1,11/13/2020,Grayson
Pinckneyville MS,8.0,0.0,1.0,9,11/13/2020,Norcross
Puckett's Mill ES,1.0,0.0,0.0,1,11/13/2020,Mill Creek
Riverside ES,2.0,0.0,0.0,2,11/13/2020,North Gwinnett
Roberts ES,9.0,0.0,1.0,10,11/13/2020,North Gwinnett
Shiloh HS,1.0,0.0,0.0,1,11/13/2020,Shiloh
Simpson ES,1.0,0.0,0.0,1,11/13/2020,Norcross
South Gwinnett HS,2.0,0.0,0.0,2,11/13/2020,South Gwinnett
Sycamore ES,1.0,0.0,0.0,1,11/13/2020,Lanier
Trip ES,25.0,0.0,0.0,25,11/13/2020,Grayson
White Oak ES,8.0,0.0,0.0,8,11/13/2020,Lanier
Winn Holt ES,1.0,2.0,0.0,3,11/13/2020,Central Gwinnett
Alcova ES,2.0,0.0,1.0,3,1/13/2021,Dacula
Alford ES,2.0,1.0,2.0,5,1/13/2021,Discovery
Annistown ES,3.0,0.0,0.0,3,1/13/2021,Shiloh
Arcado ES,2.0,0.0,0.0,2,1/13/2021,Parkview
Archer HS,40.0,5.0,6.0,51,1/13/2021,Archer
Baldwin ES,8.0,1.0,0.0,9,1/13/2021,Norcross
Bay Creek MS,5.0,2.0,0.0,7,1/13/2021,Grayson
Benefield ES,2.0,0.0,0.0,2,1/13/2021,Discovery
Berkeley Lake ES,3.0,2.0,0.0,5,1/13/2021,Duluth
Berkmar HS,11.0,1.0,3.0,15,1/13/2021,Berkmar
Berkmar MS,2.0,1.0,0.0,3,1/13/2021,Berkmar
Brookwood ES,9.0,3.0,0.0,12,1/13/2021,Brookwood
Brookwood HS,21.0,3.0,0.0,24,1/13/2021,Brookwood
Burnette ES,0.0,0.0,1.0,1,1/13/2021,North Gwinnett
Cedar Hill ES,3.0,2.0,0.0,5,1/13/2021,Discovery
Centerville ES,3.0,1.0,0.0,4,1/13/2021,Shiloh
Central Gwinnett HS,0.0,1.0,0.0,1,1/13/2021,Central Gwinnett
Chattahoochee ES,6.0,2.0,3.0,11,1/13/2021,Duluth
Chesney ES,1.0,0.0,0.0,1,1/13/2021,Duluth
Coleman MS,2.0,1.0,0.0,3,1/13/2021,Duluth
Cooper ES,3.0,0.0,0.0,3,1/13/2021,Archer
Corley ES,0.0,1.0,0.0,1,1/13/2021,Berkmar
Couch MS,2.0,0.0,0.0,2,1/13/2021,Grayson
Craig ES,19.0,0.0,1.0,20,1/13/2021,Brookwood
Creekland MS,6.0,0.0,3.0,9,1/13/2021,Collins Hill
Crews MS,34.0,2.0,0.0,36,1/13/2021,Brookwood
Dacula ES,3.0,1.0,1.0,5,1/13/2021,Dacula
Dacula HS,4.0,0.0,0.0,4,1/13/2021,Dacula
Dacula MS,18.0,1.0,1.0,20,1/13/2021,Dacula
Discovery HS,3.0,0.0,0.0,3,1/13/2021,Discovery
Duluth HS,2.0,0.0,2.0,4,1/13/2021,Duluth
Duluth MS,33.0,4.0,5.0,42,1/13/2021,Duluth
Duncan Creek ES,2.0,0.0,0.0,2,1/13/2021,Mill Creek
Dyer ES,2.0,0.0,0.0,2,1/13/2021,Mountain View
Ferguson ES,58.0,0.0,2.0,60,1/13/2021,Meadowcreek
Freeman's Mill ES,2.0,0.0,0.0,2,1/13/2021,Mountain View
Grace Snell MS,1.0,0.0,0.0,1,1/13/2021,South Gwinnett
Graves ES,0.0,1.0,0.0,1,1/13/2021,Meadowcreek
Grayson ES,4.0,0.0,0.0,4,1/13/2021,Grayson
Grayson HS,18.0,4.0,2.0,24,1/13/2021,Grayson
Gwin Oaks ES,2.0,0.0,0.0,2,1/13/2021,Brookwood
Harbins ES,4.0,4.0,0.0,8,1/13/2021,Archer
Harmony ES,2.0,0.0,2.0,4,1/13/2021,Mill Creek
Harris ES,1.0,1.0,0.0,2,1/13/2021,Duluth
Head ES,3.0,0.0,0.0,3,1/13/2021,Brookwood
Hopkins ES,5.0,2.0,0.0,7,1/13/2021,Berkmar
Hull MS,14.0,6.0,1.0,21,1/13/2021,Peachtree Ridge
Ivy Creek ES,3.0,0.0,1.0,4,1/13/2021,Mill Creek
Jackson ES,4.0,0.0,1.0,5,1/13/2021,Peachtree Ridge
Jenkins ES,3.0,1.0,0.0,4,1/13/2021,Central Gwinnett
Jones MS,9.0,0.0,0.0,9,1/13/2021,Mill Creek
Jordan MS,0.0,1.0,0.0,1,1/13/2021,Central Gwinnett
Knight ES,7.0,2.0,0.0,9,1/13/2021,Parkview
Lanier HS,17.0,2.0,3.0,22,1/13/2021,Lanier
Lanier MS,17.0,1.0,0.0,18,1/13/2021,Lanier
Lilburn MS,9.0,2.0,1.0,12,1/13/2021,Meadowcreek
Magill ES,1.0,1.0,0.0,2,1/13/2021,South Gwinnett
Mason ES,1.0,1.0,0.0,2,1/13/2021,Peachtree Ridge
Maxwell,1.0,0.0,0.0,1,1/13/2021,Other
McClure Health Science HS,4.0,2.0,0.0,6,1/13/2021,Meadowcreek
McConnell MS,30.0,1.0,1.0,32,1/13/2021,Archer Cluster
McKendree ES,4.0,0.0,0.0,4,1/13/2021,Collins Hill
Meadowcreek ES,0.0,1.0,1.0,2,1/13/2021,Meadowcreek
Meadowcreek HS,2.0,1.0,1.0,4,1/13/2021,Meadowcreek
Mill Creek HS,9.0,3.0,0.0,12,1/13/2021,Mill Creek
Minor ES,6.0,0.0,0.0,6,1/13/2021,Berkmar
Moore MS,5.0,0.0,1.0,6,1/13/2021,Central Gwinnett
Mountain Park ES,1.0,0.0,0.0,1,1/13/2021,Parkview
Mountain View HS,26.0,0.0,3.0,29,1/13/2021,Mountain View
Mulberry ES,14.0,1.0,1.0,16,1/13/2021,Dacula
Nesbit ES,0.0,1.0,1.0,2,1/13/2021,Meadowcreek
Norcross ES,21.0,2.0,1.0,24,1/13/2021,Norcross
Norcross HS,12.0,2.0,1.0,15,1/13/2021,Norcross
North Gwinnett HS,0.0,0.0,4.0,4,1/13/2021,North Gwinnett
North Gwinnett MS,4.0,0.0,1.0,5,1/13/2021,North Gwinnett
Northbrook MS,2.0,1.0,0.0,3,1/13/2021,Peachtree Ridge
Osborne MS,17.0,1.0,1.0,19,1/13/2021,Mill Creek
Parkview HS,13.0,2.0,4.0,19,1/13/2021,Parkview
Parsons ES,3.0,0.0,3.0,6,1/13/2021,Peachtree Ridge
Partee ES,1.0,0.0,0.0,1,1/13/2021,Shiloh
Patrick ES,5.0,0.0,0.0,5,1/13/2021,Mountain View
Paul Duke STEM HS,1.0,0.0,0.0,1,1/13/2021,Norcross
Peachtree ES,0.0,0.0,1.0,1,1/13/2021,Norcross
Peachtree Ridge HS,14.0,1.0,0.0,15,1/13/2021,Peachtree Ridge
Pharr ES,2.0,0.0,0.0,2,1/13/2021,Grayson
Pinckneyville MS,2.0,0.0,0.0,2,1/13/2021,Norcross
Puckett's Mill ES,5.0,2.0,1.0,8,1/13/2021,Mill Creek
Radloff MS,1.0,0.0,0.0,1,1/13/2021,Meadowcreek
Richards MS,8.0,0.0,3.0,11,1/13/2021,Discovery
Roberts ES,1.0,0.0,0.0,1,1/13/2021,North Gwinnett
Rock Springs ES,9.0,1.0,0.0,10,1/13/2021,Collins Hill
Rockbridge ES,3.0,0.0,0.0,3,1/13/2021,Meadowcreek
Rosebud ES,1.0,0.0,2.0,3,1/13/2021,South Gwinnett
Shiloh MS,1.0,0.0,0.0,1,1/13/2021,Shiloh
South Gwinnett HS,8.0,1.0,1.0,10,1/13/2021,South Gwinnett
Starling ES,1.0,1.0,0.0,2,1/13/2021,Grayson
Stripling ES,1.0,0.0,0.0,1,1/13/2021,Norcross
Suwanee ES,1.0,0.0,0.0,1,1/13/2021,North Gwinnett
Sweetwater MS,1.0,1.0,0.0,2,1/13/2021,Berkmar
Sycamore ES,3.0,0.0,1.0,4,1/13/2021,Lanier
Trickum MS,16.0,0.0,1.0,17,1/13/2021,Parkview
Trip ES,1.0,0.0,1.0,2,1/13/2021,Grayson
Twin Rivers MS,15.0,4.0,0.0,19,1/13/2021,Mountain View
White Oak ES,3.0,0.0,2.0,5,1/13/2021,Lanier
Winn Holt ES,1.0,0.0,1.0,2,1/13/2021,Central Gwinnett
Woodward Mill ES,0.0,1.0,0.0,1,1/13/2021,Mountain View
Alcova ES,2.0,0.0,0.0,2,4/13/2021,Dacula
Alford ES,1.0,1.0,0.0,2,4/13/2021,Discovery
Bay Creek MS,1.0,1.0,0.0,2,4/13/2021,Grayson
Beaver Ridge ES,2.0,0.0,0.0,2,4/13/2021,Norcross
Berkeley Lake ES,2.0,0.0,0.0,2,4/13/2021,Duluth
Berkmar MS,1.0,0.0,0.0,1,4/13/2021,Berkmar
Brookwood ES,4.0,0.0,0.0,4,4/13/2021,Brookwood
Brookwood HS,0.0,1.0,0.0,1,4/13/2021,Brookwood
Burnette ES,5.0,1.0,0.0,6,4/13/2021,North Gwinnett
Cedar Hill ES,2.0,1.0,0.0,3,4/13/2021,Discovery
Chattahoochee ES,2.0,0.0,0.0,2,4/13/2021,Duluth
Chesney ES,0.0,2.0,0.0,2,4/13/2021,Duluth
Coleman MS,0.0,3.0,0.0,3,4/13/2021,Duluth
Collins Hill HS,0.0,1.0,0.0,1,4/13/2021,Collins Hill
Corley ES,2.0,0.0,0.0,2,4/13/2021,Berkmar
Craig ES,2.0,1.0,0.0,3,4/13/2021,Brookwood
Crews MS,2.0,4.0,0.0,6,4/13/2021,Brookwood
Dacula ES,1.0,0.0,0.0,1,4/13/2021,Dacula
Dacula HS,2.0,2.0,0.0,4,4/13/2021,Dacula
Dacula MS,1.0,1.0,0.0,2,4/13/2021,Dacula
Discovery HS,2.0,1.0,1.0,4,4/13/2021,Discovery
Duluth HS,1.0,0.0,2.0,3,4/13/2021,Duluth
Duncan Creek ES,3.0,1.0,0.0,4,4/13/2021,Mill Creek
Dyer ES,1.0,2.0,0.0,3,4/13/2021,Mountain View
Ferguson ES,1.0,0.0,0.0,1,4/13/2021,Meadowcreek
Fort Daniel ES,1.0,1.0,0.0,2,4/13/2021,Mill Creek
Grayson ES,2.0,0.0,1.0,3,4/13/2021,Grayson
Grayson HS,4.0,1.0,0.0,5,4/13/2021,Grayson
Gwin Oaks ES,5.0,0.0,0.0,5,4/13/2021,Brookwood
Gwinnett Online Campus,0.0,1.0,0.0,1,4/13/2021,Other
"Gwinnett School of Mathematics, Science, and Technology",0.0,1.0,0.0,1,4/13/2021,Discovery
Harmony ES,1.0,0.0,0.0,1,4/13/2021,Mill Creek
Head ES,0.0,0.0,2.0,2,4/13/2021,Brookwood
Hopkins ES,0.0,1.0,0.0,1,4/13/2021,Berkmar
Hull MS,0.0,2.0,0.0,2,4/13/2021,Peachtree Ridge
Ivy Creek ES,2.0,0.0,0.0,2,4/13/2021,Mill Creek
Jackson ES,3.0,0.0,0.0,3,4/13/2021,Peachtree Ridge
Jones MS,1.0,0.0,0.0,1,4/13/2021,Mill Creek
Kanoheda ES,1.0,1.0,0.0,2,4/13/2021,Berkmar
Knight ES,0.0,1.0,0.0,1,4/13/2021,Parkview
Lanier HS,11.0,2.0,1.0,14,4/13/2021,Lanier
Lanier MS,2.0,0.0,0.0,2,4/13/2021,Lanier
Lilburn ES,1.0,0.0,0.0,1,4/13/2021,Meadowcreek
Lovin ES,1.0,0.0,1.0,2,4/13/2021,Archer
Magill ES,1.0,0.0,0.0,1,4/13/2021,South Gwinnett
McClure Health Science HS,0.0,0.0,2.0,2,4/13/2021,Meadowcreek
McConnell MS,6.0,1.0,0.0,7,4/13/2021,Archer Cluster
Meadowcreek ES,1.0,0.0,0.0,1,4/13/2021,Meadowcreek
Meadowcreek HS,1.0,1.0,1.0,3,4/13/2021,Meadowcreek
Mill Creek HS,5.0,2.0,0.0,7,4/13/2021,Mill Creek
Mountain View HS,1.0,1.0,0.0,2,4/13/2021,Mountain View
Norcross HS,1.0,1.0,0.0,2,4/13/2021,Norcross
North Gwinnett MS,0.0,1.0,1.0,2,4/13/2021,North Gwinnett
Northbrook MS,0.0,1.0,0.0,1,4/13/2021,Peachtree Ridge
Osborne MS,8.0,2.0,0.0,10,4/13/2021,Mill Creek
Parkview HS,4.0,3.0,2.0,9,4/13/2021,Parkview
Peachtree ES,1.0,0.0,0.0,1,4/13/2021,Norcross
Peachtree Ridge HS,1.0,1.0,0.0,2,4/13/2021,Peachtree Ridge
Pharr ES,0.0,1.0,0.0,1,4/13/2021,Grayson
Puckett's Mill ES,0.0,1.0,0.0,1,4/13/2021,Mill Creek
Richards MS,0.0,2.0,0.0,2,4/13/2021,Discovery
Riverside ES,1.0,0.0,0.0,1,4/13/2021,North Gwinnett
Rockbridge ES,1.0,0.0,0.0,1,4/13/2021,Meadowcreek
Rosebud ES,1.0,0.0,0.0,1,4/13/2021,South Gwinnett
Shiloh ES,6.0,0.0,0.0,6,4/13/2021,Shiloh
Simonton ES,3.0,4.0,0.0,7,4/13/2021,Central Gwinnett
Simpson ES,3.0,0.0,0.0,3,4/13/2021,Norcross
Snellville MS,2.0,0.0,0.0,2,4/13/2021,South Gwinnett
South Gwinnett HS,1.0,0.0,0.0,1,4/13/2021,South Gwinnett
Starling ES,1.0,0.0,0.0,1,4/13/2021,Grayson
Sugar Hill ES,1.0,1.0,0.0,2,4/13/2021,Lanier
Sweetwater MS,0.0,0.0,1.0,1,4/13/2021,Berkmar
Taylor ES,1.0,0.0,0.0,1,4/13/2021,Collins Hill
Trip ES,1.0,1.0,0.0,2,4/13/2021,Grayson
Twin Rivers MS,2.0,0.0,0.0,2,4/13/2021,Mountain View
Winn Holt ES,2.0,0.0,0.0,2,4/13/2021,Central Gwinnett
Alcova ES,4.0,0.0,0.0,4,10/14/2020,Dacula
Arcado ES,0.0,0.0,1.0,1,10/14/2020,Parkview
Archer HS,7.0,1.0,0.0,8,10/14/2020,Archer
Baldwin ES,2.0,0.0,0.0,2,10/14/2020,Norcross
Berkmar HS,1.0,0.0,0.0,1,10/14/2020,Berkmar
Brookwood ES,3.0,0.0,0.0,3,10/14/2020,Brookwood
Brookwood HS,1.0,0.0,0.0,1,10/14/2020,Brookwood
Burnette ES,2.0,0.0,0.0,2,10/14/2020,North Gwinnett
Cedar Hill ES,1.0,0.0,0.0,1,10/14/2020,Discovery
Cooper ES,5.0,0.0,0.0,5,10/14/2020,Archer
Couch MS,3.0,1.0,0.0,4,10/14/2020,Grayson
Craig ES,0.0,1.0,0.0,1,10/14/2020,Brookwood
Creekland MS,0.0,0.0,1.0,1,10/14/2020,Collins Hill
Crews MS,5.0,1.0,0.0,6,10/14/2020,Brookwood
Dacula ES,2.0,0.0,2.0,4,10/14/2020,Dacula
Dacula HS,4.0,2.0,0.0,6,10/14/2020,Dacula
Dacula MS,1.0,0.0,1.0,2,10/14/2020,Dacula
Duluth HS,1.0,0.0,1.0,2,10/14/2020,Duluth
Duncan Creek ES,2.0,0.0,0.0,2,10/14/2020,Mill Creek
Fort Daniel ES,1.0,0.0,0.0,1,10/14/2020,Mill Creek
Freeman's Mill ES,2.0,1.0,0.0,3,10/14/2020,Mountain View
GIVE West,0.0,0.0,1.0,1,10/14/2020,Other
Graves ES,0.0,0.0,1.0,1,10/14/2020,Meadowcreek
Grayson HS,0.0,0.0,1.0,1,10/14/2020,Grayson
"Gwinnett School of Mathematics, Science, and Technology",1.0,0.0,0.0,1,10/14/2020,Discovery
Harbins ES,6.0,0.0,0.0,6,10/14/2020,Archer
Harmony ES,1.0,0.0,0.0,1,10/14/2020,Mill Creek
Harris ES,1.0,0.0,0.0,1,10/14/2020,Duluth
International Transition Center,0.0,0.0,2.0,2,10/14/2020,Other
Ivy Creek ES,3.0,1.0,0.0,4,10/14/2020,Mill Creek
Jenkins ES,1.0,0.0,0.0,1,10/14/2020,Central Gwinnett
Jones MS,1.0,0.0,0.0,1,10/14/2020,Mill Creek
Jordan MS,3.0,0.0,1.0,4,10/14/2020,Central Gwinnett
Knight ES,0.0,1.0,0.0,1,10/14/2020,Parkview
Lanier HS,0.0,0.0,1.0,1,10/14/2020,Lanier
Level Creek ES,11.0,0.0,0.0,11,10/14/2020,North Gwinnett
Lilburn MS,4.0,1.0,0.0,5,10/14/2020,Meadowcreek
Maxwell HS of Technology,1.0,6.0,0.0,7,10/14/2020,Other
Meadowcreek HS,2.0,0.0,0.0,2,10/14/2020,Meadowcreek
Mill Creek HS,18.0,0.0,1.0,19,10/14/2020,Mill Creek
Minor ES,1.0,0.0,0.0,1,10/14/2020,Berkmar
Norcross HS,8.0,1.0,0.0,9,10/14/2020,Norcross
Northbrook MS,2.0,0.0,0.0,2,10/14/2020,Peachtree Ridge
Norton ES,1.0,0.0,0.0,1,10/14/2020,South Gwinnett
Osborne MS,1.0,0.0,0.0,1,10/14/2020,Mill Creek
Parkview HS,1.0,0.0,0.0,1,10/14/2020,Parkview
Parsons ES,1.0,0.0,0.0,1,10/14/2020,Peachtree Ridge
Peachtree ES,0.0,0.0,2.0,2,10/14/2020,Norcross
Pinckneyville MS,0.0,1.0,0.0,1,10/14/2020,Norcross
Richards MS,2.0,0.0,3.0,5,10/14/2020,Discovery
Riverside ES,5.0,0.0,0.0,5,10/14/2020,North Gwinnett
Rockbridge ES,2.0,0.0,0.0,2,10/14/2020,Meadowcreek
Starling ES,1.0,0.0,0.0,1,10/14/2020,Grayson
Sugar Hill ES,1.0,0.0,0.0,1,10/14/2020,Lanier
Summerour MS,0.0,1.0,0.0,1,10/14/2020,Norcross
Sycamore ES,2.0,0.0,0.0,2,10/14/2020,Lanier
Trip ES,1.0,0.0,0.0,1,10/14/2020,Grayson
Winn Holt ES,0.0,0.0,1.0,1,10/14/2020,Central Gwinnett
Alford ES,2.0,0.0,0.0,2,12/14/2020,Discovery
Archer HS,2.0,0.0,0.0,2,12/14/2020,Archer
Baldwin ES,1.0,0.0,0.0,1,12/14/2020,Norcross
Bay Creek MS,1.0,0.0,1.0,2,12/14/2020,Grayson
Beaver Ridge ES,31.0,3.0,2.0,36,12/14/2020,Norcross
Berkmar HS,15.0,2.0,2.0,19,12/14/2020,Berkmar
Berkmar MS,1.0,0.0,1.0,2,12/14/2020,Berkmar
Bethesda ES,13.0,1.0,0.0,14,12/14/2020,Berkmar
Brookwood ES,2.0,0.0,0.0,2,12/14/2020,Brookwood
Brookwood HS,10.0,1.0,0.0,11,12/14/2020,Brookwood
Camp Creek ES,9.0,1.0,0.0,10,12/14/2020,Parkview
Cedar Hill ES,5.0,1.0,1.0,7,12/14/2020,Discovery
Centerville ES,2.0,0.0,0.0,2,12/14/2020,Shiloh
Central Gwinnett HS,1.0,0.0,1.0,2,12/14/2020,Central Gwinnett
Chattahoochee ES,2.0,0.0,0.0,2,12/14/2020,Duluth
Coleman MS,2.0,0.0,0.0,2,12/14/2020,Duluth
Collins Hill HS,2.0,0.0,0.0,2,12/14/2020,Collins Hill
Cooper ES,2.0,0.0,0.0,2,12/14/2020,Archer
Couch MS,4.0,0.0,1.0,5,12/14/2020,Grayson
Craig ES,1.0,0.0,0.0,1,12/14/2020,Brookwood
Creekland MS,1.0,0.0,0.0,1,12/14/2020,Collins Hill
Crews MS,3.0,0.0,0.0,3,12/14/2020,Brookwood
Dacula ES,0.0,0.0,2.0,2,12/14/2020,Dacula
Dacula HS,1.0,1.0,1.0,3,12/14/2020,Dacula
Discovery HS,3.0,0.0,0.0,3,12/14/2020,Discovery
