school,close_contact,positive_case,suspected_case,total,date,cluster
Corley ES,2.0,0.0,0.0,2,4/15/2021,Berkmar
Couch MS,0.0,0.0,0.0,0,4/15/2021,Grayson
Craig ES,0.0,1.0,0.0,1,4/15/2021,Brookwood
Creekland MS,1.0,0.0,0.0,1,4/15/2021,Collins Hill
Crews MS,2.0,2.0,0.0,4,4/15/2021,Brookwood
Dacula ES,1.0,0.0,0.0,1,4/15/2021,Dacula
Dacula HS,1.0,2.0,0.0,3,4/15/2021,Dacula
Dacula MS,3.0,2.0,0.0,5,4/15/2021,Dacula
Discovery HS,2.0,1.0,1.0,4,4/15/2021,Discovery
Duluth HS,1.0,1.0,2.0,4,4/15/2021,Duluth
Duluth MS,0.0,0.0,2.0,2,4/15/2021,Duluth
Duncan Creek ES,4.0,0.0,0.0,4,4/15/2021,Mill Creek
Dyer ES,3.0,2.0,0.0,5,4/15/2021,Mountain View
Ferguson ES,1.0,0.0,0.0,1,4/15/2021,Meadowcreek
Five Forks MS,1.0,0.0,0.0,1,4/15/2021,Brookwood
Fort Daniel ES,1.0,2.0,0.0,3,4/15/2021,Mill Creek
Freeman's Mill ES,0.0,0.0,0.0,0,4/15/2021,Mountain View
GIVE East,0.0,0.0,0.0,0,4/15/2021,Other
GIVE West,0.0,0.0,0.0,0,4/15/2021,Other
Grace Snell MS,0.0,0.0,0.0,0,4/15/2021,South Gwinnett
Graves ES,1.0,0.0,0.0,1,4/15/2021,Meadowcreek
Grayson ES,4.0,0.0,1.0,5,4/15/2021,Grayson
Grayson HS,6.0,1.0,0.0,7,4/15/2021,Grayson
Gwin Oaks ES,10.0,1.0,0.0,11,4/15/2021,Brookwood
Gwinnett Online Campus,0.0,1.0,0.0,1,4/15/2021,Other
"Gwinnett School of Mathematics, Science, and Technology",0.0,1.0,0.0,1,4/15/2021,Discovery
Harbins ES,0.0,0.0,0.0,0,4/15/2021,Archer
Harmony ES,2.0,0.0,0.0,2,4/15/2021,Mill Creek
Harris ES,0.0,1.0,0.0,1,4/15/2021,Duluth
Head ES,0.0,0.0,2.0,2,4/15/2021,Brookwood
Hopkins ES,1.0,2.0,0.0,3,4/15/2021,Berkmar
Hull MS,0.0,1.0,0.0,1,4/15/2021,Peachtree Ridge
International Transition Center,0.0,0.0,0.0,0,4/15/2021,Other
Ivy Creek ES,4.0,0.0,0.0,4,4/15/2021,Mill Creek
Jackson ES,4.0,0.0,0.0,4,4/15/2021,Peachtree Ridge
Jenkins ES,0.0,0.0,0.0,0,4/15/2021,Central Gwinnett
Jones MS,3.0,0.0,0.0,3,4/15/2021,Mill Creek
Jordan MS,0.0,1.0,0.0,1,4/15/2021,Central Gwinnett
Kanoheda ES,1.0,1.0,0.0,2,4/15/2021,Berkmar
Knight ES,1.0,1.0,1.0,3,4/15/2021,Parkview
Lanier HS,12.0,1.0,1.0,14,4/15/2021,Lanier
Lanier MS,17.0,1.0,0.0,18,4/15/2021,Lanier
Lawrenceville ES,4.0,1.0,0.0,5,4/15/2021,Central Gwinnett
Level Creek ES,1.0,0.0,0.0,1,4/15/2021,North Gwinnett
Lilburn ES,1.0,0.0,0.0,1,4/15/2021,Meadowcreek
Lilburn MS,0.0,0.0,0.0,0,4/15/2021,Meadowcreek
Lovin ES,1.0,0.0,1.0,2,4/15/2021,Archer
Magill ES,17.0,1.0,0.0,18,4/15/2021,South Gwinnett
Mason ES,17.0,2.0,0.0,19,4/15/2021,Peachtree Ridge
Maxwell,0.0,0.0,0.0,0,4/15/2021,Other
McClure Health Science HS,0.0,0.0,2.0,2,4/15/2021,Meadowcreek
McConnell MS,5.0,1.0,0.0,6,4/15/2021,Archer Cluster
McKendree ES,5.0,0.0,0.0,5,4/15/2021,Collins Hill
Meadowcreek ES,1.0,0.0,0.0,1,4/15/2021,Meadowcreek
Meadowcreek HS,1.0,2.0,2.0,5,4/15/2021,Meadowcreek
Mill Creek HS,9.0,5.0,0.0,14,4/15/2021,Mill Creek
Minor ES,0.0,0.0,0.0,0,4/15/2021,Berkmar
Moore MS,0.0,0.0,0.0,0,4/15/2021,Central Gwinnett
Mountain Park ES,0.0,0.0,0.0,0,4/15/2021,Parkview
Mountain View HS,4.0,0.0,0.0,4,4/15/2021,Mountain View
Mulberry ES,2.0,1.0,0.0,3,4/15/2021,Dacula
Nesbit ES,1.0,0.0,0.0,1,4/15/2021,Meadowcreek
Norcross ES,1.0,0.0,0.0,1,4/15/2021,Norcross
Norcross HS,4.0,2.0,2.0,8,4/15/2021,Norcross
North Gwinnett HS,3.0,2.0,1.0,6,4/15/2021,North Gwinnett
North Gwinnett MS,3.0,1.0,1.0,5,4/15/2021,North Gwinnett
Northbrook MS,2.0,1.0,0.0,3,4/15/2021,Peachtree Ridge
Norton ES,0.0,0.0,0.0,0,4/15/2021,South Gwinnett
Oakland Meadow School,0.0,0.0,0.0,0,4/15/2021,Other
Osborne MS,12.0,4.0,0.0,16,4/15/2021,Mill Creek
Parkview HS,5.0,0.0,2.0,7,4/15/2021,Parkview
Parsons ES,0.0,0.0,0.0,0,4/15/2021,Peachtree Ridge
Partee ES,0.0,1.0,0.0,1,4/15/2021,Shiloh
Patrick ES,0.0,0.0,0.0,0,4/15/2021,Mountain View
Paul Duke STEM HS,9.0,1.0,0.0,10,4/15/2021,Norcross
Peachtree ES,6.0,0.0,1.0,7,4/15/2021,Norcross
Peachtree Ridge HS,1.0,1.0,0.0,2,4/15/2021,Peachtree Ridge
Pharr ES,3.0,1.0,1.0,5,4/15/2021,Grayson
Phoenix HS,0.0,0.0,0.0,0,4/15/2021,Other
Pinckneyville MS,3.0,1.0,0.0,4,4/15/2021,Norcross
Puckett's Mill ES,0.0,1.0,0.0,1,4/15/2021,Mill Creek
Radloff MS,0.0,0.0,0.0,0,4/15/2021,Meadowcreek
Richards MS,10.0,3.0,0.0,13,4/15/2021,Discovery
Riverside ES,4.0,0.0,0.0,4,4/15/2021,North Gwinnett
Roberts ES,0.0,0.0,0.0,0,4/15/2021,North Gwinnett
Rock Springs ES,1.0,0.0,0.0,1,4/15/2021,Collins Hill
Rockbridge ES,1.0,0.0,1.0,2,4/15/2021,Meadowcreek
Rosebud ES,3.0,0.0,0.0,3,4/15/2021,South Gwinnett
Shiloh ES,6.0,0.0,0.0,6,4/15/2021,Shiloh
Shiloh HS,0.0,0.0,0.0,0,4/15/2021,Shiloh
Shiloh MS,0.0,0.0,0.0,0,4/15/2021,Shiloh
Simonton ES,2.0,4.0,0.0,6,4/15/2021,Central Gwinnett
Simpson ES,0.0,0.0,0.0,0,4/15/2021,Norcross
Snellville MS,2.0,0.0,0.0,2,4/15/2021,South Gwinnett
South Gwinnett HS,4.0,1.0,0.0,5,4/15/2021,South Gwinnett
Starling ES,3.0,0.0,0.0,3,4/15/2021,Grayson
Stripling ES,3.0,0.0,1.0,4,4/15/2021,Norcross
Sugar Hill ES,2.0,1.0,0.0,3,4/15/2021,Lanier
Summerour MS,1.0,0.0,0.0,1,4/15/2021,Norcross
Suwanee ES,0.0,0.0,0.0,0,4/15/2021,North Gwinnett
Sweetwater MS,2.0,0.0,1.0,3,4/15/2021,Berkmar
Sycamore ES,13.0,0.0,0.0,13,4/15/2021,Lanier
Taylor ES,4.0,0.0,0.0,4,4/15/2021,Collins Hill
Trickum MS,0.0,0.0,0.0,0,4/15/2021,Parkview
Trip ES,3.0,1.0,0.0,4,4/15/2021,Grayson
Twin Rivers MS,3.0,2.0,0.0,5,4/15/2021,Mountain View
Walnut Grove ES,0.0,0.0,0.0,0,4/15/2021,Collins Hill
White Oak ES,0.0,0.0,0.0,0,4/15/2021,Lanier
Winn Holt ES,1.0,0.0,0.0,1,4/15/2021,Central Gwinnett
Woodward Mill ES,0.0,0.0,0.0,0,4/15/2021,Mountain View
Alcova ES,19.0,1.0,4.0,24,10/16/2020,Dacula
Alford ES,25.0,0.0,1.0,26,10/16/2020,Discovery
Anderson-Livsey ES,1.0,0.0,0.0,1,10/16/2020,Shiloh
Annistown ES,0.0,0.0,0.0,0,10/16/2020,Shiloh
Arcado ES,1.0,0.0,1.0,2,10/16/2020,Parkview
Archer HS,28.0,2.0,1.0,31,10/16/2020,Archer
Baggett ES,2.0,0.0,0.0,2,10/16/2020,Discovery
Baldwin ES,3.0,0.0,0.0,3,10/16/2020,Norcross
Bay Creek MS,0.0,1.0,0.0,1,10/16/2020,Grayson
Beaver Ridge ES,1.0,0.0,0.0,1,10/16/2020,Norcross
Benefield ES,0.0,0.0,0.0,0,10/16/2020,Discovery
Berkeley Lake ES,0.0,0.0,0.0,0,10/16/2020,Duluth
Berkmar HS,1.0,0.0,0.0,1,10/16/2020,Berkmar
Berkmar MS,4.0,1.0,0.0,5,10/16/2020,Berkmar
Bethesda ES,1.0,0.0,0.0,1,10/16/2020,Berkmar
Britt ES,2.0,0.0,3.0,5,10/16/2020,South Gwinnett
Brookwood ES,11.0,0.0,0.0,11,10/16/2020,Brookwood
Brookwood HS,54.0,1.0,0.0,55,10/16/2020,Brookwood
Buice Center,1.0,1.0,0.0,2,10/16/2020,Other
Burnette ES,4.0,0.0,2.0,6,10/16/2020,North Gwinnett
Camp Creek ES,2.0,0.0,0.0,2,10/16/2020,Parkview
Cedar Hill ES,10.0,0.0,0.0,10,10/16/2020,Discovery
Centerville ES,0.0,0.0,0.0,0,10/16/2020,Shiloh
Central Gwinnett HS,7.0,1.0,0.0,8,10/16/2020,Central Gwinnett
Chattahoochee ES,12.0,1.0,0.0,13,10/16/2020,Duluth
Chesney ES,3.0,0.0,0.0,3,10/16/2020,Duluth
Coleman MS,1.0,0.0,0.0,1,10/16/2020,Duluth
Collins Hill HS,8.0,0.0,0.0,8,10/16/2020,Collins Hill
Cooper ES,10.0,1.0,1.0,12,10/16/2020,Archer
Corley ES,1.0,0.0,0.0,1,10/16/2020,Berkmar
Couch MS,6.0,0.0,0.0,6,10/16/2020,Grayson
Craig ES,0.0,1.0,1.0,2,10/16/2020,Brookwood
Creekland MS,1.0,0.0,3.0,4,10/16/2020,Collins Hill
Crews MS,8.0,1.0,0.0,9,10/16/2020,Brookwood
Dacula ES,6.0,0.0,6.0,12,10/16/2020,Dacula
Dacula HS,15.0,2.0,2.0,19,10/16/2020,Dacula
Dacula MS,17.0,1.0,2.0,20,10/16/2020,Dacula
Discovery HS,14.0,1.0,1.0,16,10/16/2020,Discovery
Duluth HS,77.0,5.0,8.0,90,10/16/2020,Duluth
Duluth MS,3.0,0.0,3.0,6,10/16/2020,Duluth
Duncan Creek ES,21.0,0.0,0.0,21,10/16/2020,Mill Creek
Dyer ES,1.0,0.0,0.0,1,10/16/2020,Mountain View
Ferguson ES,1.0,0.0,0.0,1,10/16/2020,Meadowcreek
Five Forks MS,0.0,0.0,0.0,0,10/16/2020,Brookwood
Fort Daniel ES,5.0,0.0,0.0,5,10/16/2020,Mill Creek
Freeman's Mill ES,3.0,1.0,0.0,4,10/16/2020,Mountain View
GIVE East,1.0,0.0,0.0,1,10/16/2020,Other
GIVE West,0.0,0.0,1.0,1,10/16/2020,Other
Grace Snell MS,1.0,0.0,0.0,1,10/16/2020,South Gwinnett
Graves ES,0.0,1.0,1.0,2,10/16/2020,Meadowcreek
Grayson ES,1.0,0.0,1.0,2,10/16/2020,Grayson
Grayson HS,27.0,5.0,1.0,33,10/16/2020,Grayson
Gwin Oaks ES,1.0,0.0,0.0,1,10/16/2020,Brookwood
Gwinnett Online Campus,2.0,0.0,0.0,2,10/16/2020,Other
"Gwinnett School of Mathematics, Science, and Technology",3.0,0.0,0.0,3,10/16/2020,Discovery
Harbins ES,11.0,1.0,1.0,13,10/16/2020,Archer
Harmony ES,1.0,0.0,0.0,1,10/16/2020,Mill Creek
Harris ES,4.0,1.0,0.0,5,10/16/2020,Duluth
Head ES,1.0,0.0,0.0,1,10/16/2020,Brookwood
Hopkins ES,2.0,0.0,0.0,2,10/16/2020,Berkmar
Hull MS,22.0,1.0,1.0,24,10/16/2020,Peachtree Ridge
International Transition Center,1.0,0.0,2.0,3,10/16/2020,Other
Ivy Creek ES,6.0,2.0,2.0,10,10/16/2020,Mill Creek
Jackson ES,16.0,1.0,0.0,17,10/16/2020,Peachtree Ridge
Jenkins ES,1.0,0.0,0.0,1,10/16/2020,Central Gwinnett
Jones MS,23.0,0.0,0.0,23,10/16/2020,Mill Creek
Jordan MS,8.0,0.0,3.0,11,10/16/2020,Central Gwinnett
Kanoheda ES,3.0,0.0,4.0,7,10/16/2020,Berkmar
Knight ES,27.0,1.0,6.0,34,10/16/2020,Parkview
Lanier HS,8.0,0.0,1.0,9,10/16/2020,Lanier
Lanier MS,1.0,0.0,0.0,1,10/16/2020,Lanier
Lawrenceville ES,0.0,0.0,1.0,1,10/16/2020,Central Gwinnett
Level Creek ES,13.0,0.0,0.0,13,10/16/2020,North Gwinnett
Lilburn ES,7.0,1.0,2.0,10,10/16/2020,Meadowcreek
Lilburn MS,22.0,1.0,3.0,26,10/16/2020,Meadowcreek
Lovin ES,9.0,0.0,0.0,9,10/16/2020,Archer
Magill ES,0.0,0.0,0.0,0,10/16/2020,South Gwinnett
Mason ES,4.0,0.0,0.0,4,10/16/2020,Peachtree Ridge
Maxwell HS of Technology,7.0,15.0,0.0,22,10/16/2020,Other
McClure Health Science HS,3.0,0.0,1.0,4,10/16/2020,Meadowcreek
McConnell MS,9.0,0.0,0.0,9,10/16/2020,Archer Cluster
McKendree ES,0.0,0.0,0.0,0,10/16/2020,Collins Hill
Meadowcreek ES,6.0,4.0,0.0,10,10/16/2020,Meadowcreek
Meadowcreek HS,6.0,0.0,0.0,6,10/16/2020,Meadowcreek
Mill Creek HS,50.0,2.0,1.0,53,10/16/2020,Mill Creek
Minor ES,1.0,0.0,0.0,1,10/16/2020,Berkmar
Moore MS,0.0,0.0,0.0,0,10/16/2020,Central Gwinnett
Mountain Park ES,0.0,0.0,0.0,0,10/16/2020,Parkview
Mountain View HS,4.0,0.0,0.0,4,10/16/2020,Mountain View
Mulberry ES,10.0,0.0,1.0,11,10/16/2020,Dacula
Nesbit ES,1.0,1.0,0.0,2,10/16/2020,Meadowcreek
Norcross ES,0.0,0.0,0.0,0,10/16/2020,Norcross
Norcross HS,12.0,1.0,1.0,14,10/16/2020,Norcross
North Gwinnett HS,31.0,2.0,6.0,39,10/16/2020,North Gwinnett
North Gwinnett MS,3.0,0.0,0.0,3,10/16/2020,North Gwinnett
Northbrook MS,2.0,0.0,1.0,3,10/16/2020,Peachtree Ridge
Norton ES,3.0,0.0,0.0,3,10/16/2020,South Gwinnett
Oakland Meadow School,0.0,0.0,1.0,1,10/16/2020,Other
Osborne MS,3.0,0.0,0.0,3,10/16/2020,Mill Creek
Parkview HS,6.0,0.0,3.0,9,10/16/2020,Parkview
Parsons ES,2.0,0.0,0.0,2,10/16/2020,Peachtree Ridge
Partee ES,8.0,0.0,1.0,9,10/16/2020,Shiloh
Patrick ES,0.0,0.0,0.0,0,10/16/2020,Mountain View
Paul Duke STEM HS,0.0,0.0,1.0,1,10/16/2020,Norcross
Peachtree ES,11.0,0.0,7.0,18,10/16/2020,Norcross
Peachtree Ridge HS,3.0,1.0,3.0,7,10/16/2020,Peachtree Ridge
Pharr ES,6.0,1.0,0.0,7,10/16/2020,Grayson
Phoenix HS,0.0,0.0,0.0,0,10/16/2020,Other
Pinckneyville MS,13.0,1.0,1.0,15,10/16/2020,Norcross
Puckett's Mill ES,6.0,0.0,1.0,7,10/16/2020,Mill Creek
Radloff MS,0.0,0.0,1.0,1,10/16/2020,Meadowcreek
Richards MS,7.0,0.0,5.0,12,10/16/2020,Discovery
Riverside ES,5.0,0.0,0.0,5,10/16/2020,North Gwinnett
Roberts ES,1.0,0.0,0.0,1,10/16/2020,North Gwinnett
Rock Springs ES,1.0,0.0,0.0,1,10/16/2020,Collins Hill
Rockbridge ES,3.0,0.0,0.0,3,10/16/2020,Meadowcreek
Rosebud ES,0.0,0.0,0.0,0,10/16/2020,South Gwinnett
Shiloh ES,0.0,0.0,0.0,0,10/16/2020,Shiloh
Shiloh HS,0.0,0.0,0.0,0,10/16/2020,Shiloh
Shiloh MS,0.0,0.0,1.0,1,10/16/2020,Shiloh
Simonton ES,1.0,0.0,0.0,1,10/16/2020,Central Gwinnett
Simpson ES,4.0,0.0,0.0,4,10/16/2020,Norcross
Snellville MS,0.0,0.0,0.0,0,10/16/2020,South Gwinnett
South Gwinnett HS,4.0,0.0,1.0,5,10/16/2020,South Gwinnett
Starling ES,2.0,1.0,0.0,3,10/16/2020,Grayson
Stripling ES,2.0,0.0,0.0,2,10/16/2020,Norcross
Sugar Hill ES,2.0,0.0,0.0,2,10/16/2020,Lanier
Summerour MS,0.0,1.0,1.0,2,10/16/2020,Norcross
Suwanee ES,0.0,0.0,0.0,0,10/16/2020,North Gwinnett
Sweetwater MS,0.0,0.0,0.0,0,10/16/2020,Berkmar
Sycamore ES,2.0,0.0,0.0,2,10/16/2020,Lanier
Taylor ES,0.0,0.0,0.0,0,10/16/2020,Collins Hill
Trickum MS,2.0,0.0,0.0,2,10/16/2020,Parkview
Trip ES,2.0,0.0,0.0,2,10/16/2020,Grayson
Twin Rivers MS,17.0,1.0,2.0,20,10/16/2020,Mountain View
Walnut Grove ES,0.0,0.0,2.0,2,10/16/2020,Collins Hill
White Oak ES,7.0,0.0,1.0,8,10/16/2020,Lanier
Winn Holt ES,6.0,0.0,2.0,8,10/16/2020,Central Gwinnett
Woodward Mill ES,1.0,0.0,0.0,1,10/16/2020,Mountain View
Alcova ES,88.0,7.0,9.0,104,11/16/2020,Dacula
Alford ES,2.0,0.0,1.0,3,11/16/2020,Discovery
Anderson-Livsey ES,0.0,0.0,0.0,0,11/16/2020,Shiloh
Annistown ES,1.0,0.0,0.0,1,11/16/2020,Shiloh
Arcado ES,34.0,0.0,2.0,36,11/16/2020,Parkview
Archer HS,101.0,3.0,14.0,118,11/16/2020,Archer
Baggett ES,27.0,1.0,2.0,30,11/16/2020,Discovery
Baldwin ES,0.0,0.0,0.0,0,11/16/2020,Norcross
Bay Creek MS,2.0,0.0,0.0,2,11/16/2020,Grayson
Beaver Ridge ES,2.0,0.0,0.0,2,11/16/2020,Norcross
Benefield ES,51.0,2.0,0.0,53,11/16/2020,Discovery
Berkeley Lake ES,1.0,1.0,0.0,2,11/16/2020,Duluth
Berkmar HS,40.0,2.0,0.0,42,11/16/2020,Berkmar
Berkmar MS,2.0,0.0,0.0,2,11/16/2020,Berkmar
Bethesda ES,22.0,0.0,0.0,22,11/16/2020,Berkmar
Britt ES,3.0,0.0,0.0,3,11/16/2020,South Gwinnett
Brookwood ES,30.0,1.0,0.0,31,11/16/2020,Brookwood
Brookwood HS,14.0,1.0,0.0,15,11/16/2020,Brookwood
Buice Center,0.0,1.0,0.0,1,11/16/2020,Other
Burnette ES,3.0,1.0,0.0,4,11/16/2020,North Gwinnett
Camp Creek ES,18.0,0.0,0.0,18,11/16/2020,Parkview
Cedar Hill ES,26.0,1.0,0.0,27,11/16/2020,Discovery
Centerville ES,0.0,0.0,1.0,1,11/16/2020,Shiloh
Central Gwinnett HS,15.0,2.0,0.0,17,11/16/2020,Central Gwinnett
Chattahoochee ES,3.0,0.0,0.0,3,11/16/2020,Duluth
Chesney ES,10.0,1.0,2.0,13,11/16/2020,Duluth
Coleman MS,1.0,0.0,0.0,1,11/16/2020,Duluth
Collins Hill HS,10.0,1.0,0.0,11,11/16/2020,Collins Hill
Cooper ES,20.0,0.0,1.0,21,11/16/2020,Archer
Corley ES,1.0,1.0,0.0,2,11/16/2020,Berkmar
Couch MS,0.0,0.0,0.0,0,11/16/2020,Grayson
Craig ES,1.0,0.0,1.0,2,11/16/2020,Brookwood
Creekland MS,5.0,0.0,2.0,7,11/16/2020,Collins Hill
Crews MS,4.0,0.0,0.0,4,11/16/2020,Brookwood
Dacula ES,2.0,0.0,1.0,3,11/16/2020,Dacula
Dacula HS,5.0,2.0,2.0,9,11/16/2020,Dacula
Dacula MS,57.0,0.0,2.0,59,11/16/2020,Dacula
Discovery HS,3.0,0.0,0.0,3,11/16/2020,Discovery
Duluth HS,10.0,0.0,2.0,12,11/16/2020,Duluth
Duluth MS,9.0,0.0,6.0,15,11/16/2020,Duluth
Duncan Creek ES,7.0,0.0,1.0,8,11/16/2020,Mill Creek
Dyer ES,26.0,0.0,4.0,30,11/16/2020,Mountain View
Ferguson ES,25.0,1.0,0.0,26,11/16/2020,Meadowcreek
Five Forks MS,40.0,2.0,0.0,42,11/16/2020,Brookwood
Fort Daniel ES,11.0,0.0,1.0,12,11/16/2020,Mill Creek
Freeman's Mill ES,2.0,0.0,0.0,2,11/16/2020,Mountain View
GIVE East,0.0,0.0,1.0,1,11/16/2020,Other
GIVE West,2.0,0.0,0.0,2,11/16/2020,Other
Grace Snell MS,10.0,1.0,2.0,13,11/16/2020,South Gwinnett
Graves ES,44.0,2.0,5.0,51,11/16/2020,Meadowcreek
Grayson ES,2.0,0.0,0.0,2,11/16/2020,Grayson
Grayson HS,13.0,4.0,0.0,17,11/16/2020,Grayson
Gwin Oaks ES,4.0,0.0,2.0,6,11/16/2020,Brookwood
Gwinnett Online Campus,4.0,0.0,0.0,4,11/16/2020,Other
"Gwinnett School of Mathematics, Science, and Technology",0.0,0.0,3.0,3,11/16/2020,Discovery
Harbins ES,8.0,0.0,1.0,9,11/16/2020,Archer
Harmony ES,1.0,0.0,0.0,1,11/16/2020,Mill Creek
Harris ES,25.0,0.0,0.0,25,11/16/2020,Duluth
Head ES,2.0,0.0,0.0,2,11/16/2020,Brookwood
Hopkins ES,2.0,0.0,0.0,2,11/16/2020,Berkmar
Hull MS,3.0,0.0,0.0,3,11/16/2020,Peachtree Ridge
International Transition Center,0.0,0.0,1.0,1,11/16/2020,Other
Ivy Creek ES,3.0,1.0,2.0,6,11/16/2020,Mill Creek
Jackson ES,13.0,0.0,0.0,13,11/16/2020,Peachtree Ridge
Jenkins ES,4.0,0.0,0.0,4,11/16/2020,Central Gwinnett
Jones MS,3.0,0.0,0.0,3,11/16/2020,Mill Creek
Jordan MS,2.0,0.0,1.0,3,11/16/2020,Central Gwinnett
Kanoheda ES,29.0,1.0,3.0,33,11/16/2020,Berkmar
Knight ES,38.0,1.0,7.0,46,11/16/2020,Parkview
Lanier HS,19.0,3.0,1.0,23,11/16/2020,Lanier
Lanier MS,20.0,3.0,0.0,23,11/16/2020,Lanier
Lawrenceville ES,0.0,1.0,0.0,1,11/16/2020,Central Gwinnett
Level Creek ES,5.0,0.0,0.0,5,11/16/2020,North Gwinnett
Lilburn ES,30.0,0.0,3.0,33,11/16/2020,Meadowcreek
Lilburn MS,1.0,0.0,0.0,1,11/16/2020,Meadowcreek
Lovin ES,24.0,0.0,1.0,25,11/16/2020,Archer
Magill ES,16.0,0.0,1.0,17,11/16/2020,South Gwinnett
Mason ES,1.0,0.0,0.0,1,11/16/2020,Peachtree Ridge
Maxwell HS of Technology,5.0,0.0,2.0,7,11/16/2020,Other
McClure Health Science HS,0.0,0.0,0.0,0,11/16/2020,Meadowcreek
McConnell MS,2.0,0.0,0.0,2,11/16/2020,Archer Cluster
McKendree ES,34.0,1.0,0.0,35,11/16/2020,Collins Hill
Meadowcreek ES,4.0,0.0,1.0,5,11/16/2020,Meadowcreek
Meadowcreek HS,16.0,0.0,7.0,23,11/16/2020,Meadowcreek
Mill Creek HS,146.0,1.0,0.0,147,11/16/2020,Mill Creek
Minor ES,20.0,1.0,2.0,23,11/16/2020,Berkmar
Moore MS,0.0,0.0,0.0,0,11/16/2020,Central Gwinnett
Mountain Park ES,1.0,0.0,0.0,1,11/16/2020,Parkview
Mountain View HS,73.0,4.0,3.0,80,11/16/2020,Mountain View
Mulberry ES,1.0,0.0,0.0,1,11/16/2020,Dacula
Nesbit ES,23.0,2.0,0.0,25,11/16/2020,Meadowcreek
Norcross ES,3.0,0.0,0.0,3,11/16/2020,Norcross
Norcross HS,13.0,2.0,1.0,16,11/16/2020,Norcross
North Gwinnett HS,70.0,5.0,1.0,76,11/16/2020,North Gwinnett
North Gwinnett MS,58.0,0.0,0.0,58,11/16/2020,North Gwinnett
Northbrook MS,18.0,2.0,1.0,21,11/16/2020,Peachtree Ridge
Norton ES,10.0,1.0,0.0,11,11/16/2020,South Gwinnett
Oakland Meadow School,1.0,0.0,0.0,1,11/16/2020,Other
Osborne MS,22.0,1.0,0.0,23,11/16/2020,Mill Creek
Parkview HS,11.0,2.0,4.0,17,11/16/2020,Parkview
Parsons ES,3.0,0.0,0.0,3,11/16/2020,Peachtree Ridge
Partee ES,0.0,0.0,0.0,0,11/16/2020,Shiloh
Patrick ES,1.0,1.0,0.0,2,11/16/2020,Mountain View
Paul Duke STEM HS,3.0,1.0,1.0,5,11/16/2020,Norcross
Peachtree ES,21.0,0.0,3.0,24,11/16/2020,Norcross
Peachtree Ridge HS,10.0,1.0,2.0,13,11/16/2020,Peachtree Ridge
Pharr ES,1.0,0.0,0.0,1,11/16/2020,Grayson
Phoenix HS,0.0,0.0,0.0,0,11/16/2020,Other
Pinckneyville MS,11.0,1.0,2.0,14,11/16/2020,Norcross
Puckett's Mill ES,12.0,0.0,1.0,13,11/16/2020,Mill Creek
Radloff MS,5.0,0.0,0.0,5,11/16/2020,Meadowcreek
Richards MS,21.0,3.0,1.0,25,11/16/2020,Discovery
Riverside ES,27.0,1.0,0.0,28,11/16/2020,North Gwinnett
Roberts ES,9.0,1.0,1.0,11,11/16/2020,North Gwinnett
Rock Springs ES,0.0,0.0,0.0,0,11/16/2020,Collins Hill
Rockbridge ES,0.0,1.0,1.0,2,11/16/2020,Meadowcreek
Rosebud ES,0.0,0.0,0.0,0,11/16/2020,South Gwinnett
Shiloh ES,2.0,0.0,0.0,2,11/16/2020,Shiloh
Shiloh HS,5.0,1.0,0.0,6,11/16/2020,Shiloh
Shiloh MS,42.0,0.0,0.0,42,11/16/2020,Shiloh
Simonton ES,0.0,0.0,1.0,1,11/16/2020,Central Gwinnett
Simpson ES,4.0,0.0,0.0,4,11/16/2020,Norcross
Snellville MS,1.0,0.0,0.0,1,11/16/2020,South Gwinnett
South Gwinnett HS,8.0,1.0,2.0,11,11/16/2020,South Gwinnett
Starling ES,2.0,1.0,0.0,3,11/16/2020,Grayson
Stripling ES,2.0,0.0,0.0,2,11/16/2020,Norcross
Sugar Hill ES,13.0,0.0,1.0,14,11/16/2020,Lanier
Summerour MS,1.0,0.0,0.0,1,11/16/2020,Norcross
Suwanee ES,0.0,0.0,0.0,0,11/16/2020,North Gwinnett
Sweetwater MS,1.0,0.0,0.0,1,11/16/2020,Berkmar
Sycamore ES,8.0,0.0,0.0,8,11/16/2020,Lanier
Taylor ES,15.0,1.0,0.0,16,11/16/2020,Collins Hill
Trickum MS,10.0,1.0,0.0,11,11/16/2020,Parkview
Trip ES,26.0,0.0,0.0,26,11/16/2020,Grayson
Twin Rivers MS,87.0,3.0,2.0,92,11/16/2020,Mountain View
Walnut Grove ES,12.0,1.0,1.0,14,11/16/2020,Collins Hill
White Oak ES,73.0,0.0,2.0,75,11/16/2020,Lanier
Winn Holt ES,5.0,0.0,0.0,5,11/16/2020,Central Gwinnett
Woodward Mill ES,3.0,0.0,0.0,3,11/16/2020,Mountain View
Alcova ES,5.0,0.0,2.0,7,12/16/2020,Dacula
Alford ES,45.0,1.0,2.0,48,12/16/2020,Discovery
Anderson-Livsey ES,2.0,1.0,0.0,3,12/16/2020,Shiloh
Annistown ES,3.0,0.0,0.0,3,12/16/2020,Shiloh
Arcado ES,22.0,0.0,2.0,24,12/16/2020,Parkview
Archer HS,129.0,5.0,12.0,146,12/16/2020,Archer
Baggett ES,13.0,0.0,0.0,13,12/16/2020,Discovery
Baldwin ES,5.0,0.0,0.0,5,12/16/2020,Norcross
